OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP
00-0000,All Occupations,total,130647610
11-0000,Management occupations,major,6116380
11-1011,Chief executives,,297640
11-1021,General and operations managers,,1689680
11-1031,Legislators,,65750
11-2011,Advertising and promotions managers,,35760
11-2021,Marketing managers,,169330
11-2022,Sales managers,,328980
11-2031,Public relations managers,,53270
11-3011,Administrative services managers,,243580
11-3021,Computer and information systems managers,,287210
11-3031,Financial managers,,495180
11-3041,Compensation and benefits managers,,35630
11-3042,Training and development managers,,29320
11-3049,"Human resources managers, all other",,62990
11-3051,Industrial production managers,,147250
11-3061,Purchasing managers,,65080
11-3071,"Transportation, storage, and distribution managers",,92380
11-9011,"Farm, ranch, and other agricultural managers",,3250
11-9012,Farmers and ranchers,,520
11-9021,Construction managers,,204760
11-9031,"Education administrators, preschool and child care center/program",,51140
11-9032,"Education administrators, elementary and secondary school",,219280
11-9033,"Education administrators, postsecondary",,105900
11-9039,"Education administrators, all other",,28710
11-9041,Engineering managers,,178110
11-9051,Food service managers,,190250
11-9061,Funeral directors,,25820
11-9071,Gaming managers,,3390
11-9081,Lodging managers,,31660
11-9111,Medical and health services managers,,271710
11-9121,Natural sciences managers,,44180
11-9131,Postmasters and mail superintendents,,24890
11-9141,"Property, real estate, and community association managers",,150850
11-9151,Social and community service managers,,113760
11-9199,"Managers, all other",,369170
13-0000,Business and financial operations occupations,major,6063670
13-1011,"Agents and business managers of artists, performers, and athletes",,11700
13-1021,"Purchasing agents and buyers, farm products",,11690
13-1022,"Wholesale and retail buyers, except farm products",,116900
13-1023,"Purchasing agents, except wholesale, retail, and farm products",,281910
13-1031,"Claims adjusters, examiners, and investigators",,273930
13-1032,"Insurance appraisers, auto damage",,10960
13-1041,"Compliance officers, except agriculture, construction, health and safety, and transportation",,247900
13-1051,Cost estimators,,197330
13-1061,Emergency management specialists,,13060
13-1071,"Employment, recruitment, and placement specialists",,198190
13-1072,"Compensation, benefits, and job analysis specialists",,111890
13-1073,Training and development specialists,,205020
13-1079,"Human resources, training, and labor relations specialists, all other",,219240
13-1081,Logisticians,,100420
13-1111,Management analysts,,552770
13-1121,Meeting and convention planners,,51530
13-1199,"Business operations specialists, all other",,1036450
13-2011,Accountants and auditors,,1106980
13-2021,Appraisers and assessors of real estate,,64770
13-2031,Budget analysts,,60970
13-2041,Credit analysts,,67950
13-2051,Financial analysts,,235240
13-2052,Personal financial advisors,,149460
13-2053,Insurance underwriters,,98430
13-2061,Financial examiners,,26050
13-2071,Loan counselors,,30360
13-2072,Loan officers,,298200
13-2081,"Tax examiners, collectors, and revenue agents",,69500
13-2082,Tax preparers,,61130
13-2099,"Financial specialists, all other",,153720
15-0000,Computer and mathematical science occupations,major,3303690
15-1011,"Computer and information scientists, research",,26130
15-1021,Computer programmers,,367880
15-1031,"Computer software engineers, applications",,495500
15-1032,"Computer software engineers, systems software",,385200
15-1041,Computer support specialists,,540560
15-1051,Computer systems analysts,,512720
15-1061,Database administrators,,108080
15-1071,Network and computer systems administrators,,338890
15-1081,Network systems and data communications analysts,,226080
15-1099,"Computer specialists, all other",,195890
15-2011,Actuaries,,17940
15-2021,Mathematicians,,2770
15-2031,Operations research analysts,,60960
15-2041,Statisticians,,21370
15-2091,Mathematical technicians,,1090
15-2099,"Mathematical scientists, all other",,2610
17-0000,Architecture and engineering occupations,major,2412730
17-1011,"Architects, except landscape and naval",,101630
17-1012,Landscape architects,,18940
17-1021,Cartographers and photogrammetrists,,11750
17-1022,Surveyors,,50360
17-2011,Aerospace engineers,,70570
17-2021,Agricultural engineers,,2620
17-2031,Biomedical engineers,,14760
17-2041,Chemical engineers,,29000
17-2051,Civil engineers,,259320
17-2061,Computer hardware engineers,,65410
17-2071,Electrical engineers,,151660
17-2072,"Electronics engineers, except computer",,135990
17-2081,Environmental engineers,,50610
17-2111,"Health and safety engineers, except mining safety engineers and inspectors",,24070
17-2112,Industrial engineers,,209300
17-2121,Marine engineers and naval architects,,5270
17-2131,Materials engineers,,22510
17-2141,Mechanical engineers,,232660
17-2151,"Mining and geological engineers, including mining safety engineers",,6310
17-2161,Nuclear engineers,,16710
17-2171,Petroleum engineers,,25540
17-2199,"Engineers, all other",,159680
17-3011,Architectural and civil drafters,,105320
17-3012,Electrical and electronics drafters,,30590
17-3013,Mechanical drafters,,71890
17-3019,"Drafters, all other",,18290
17-3021,Aerospace engineering and operations technicians,,7940
17-3022,Civil engineering technicians,,82690
17-3023,Electrical and electronic engineering technicians,,154050
17-3024,Electro-mechanical technicians,,15640
17-3025,Environmental engineering technicians,,20630
17-3026,Industrial engineering technicians,,65460
17-3027,Mechanical engineering technicians,,43580
17-3029,"Engineering technicians, except drafters, all other",,69070
17-3031,Surveying and mapping technicians,,62940
19-0000,"Life, physical, and social science occupations",major,1308380
19-1011,Animal scientists,,2190
19-1012,Food scientists and technologists,,10790
19-1013,Soil and plant scientists,,11830
19-1021,Biochemists and biophysicists,,22860
19-1022,Microbiologists,,16260
19-1023,Zoologists and wildlife biologists,,17460
19-1029,"Biological scientists, all other",,29630
19-1031,Conservation scientists,,16810
19-1032,Foresters,,10230
19-1041,Epidemiologists,,4610
19-1042,"Medical scientists, except epidemiologists",,101760
19-1099,"Life scientists, all other",,12320
19-2011,Astronomers,,1240
19-2012,Physicists,,13630
19-2021,Atmospheric and space scientists,,8320
19-2031,Chemists,,79910
19-2032,Materials scientists,,8880
19-2041,"Environmental scientists and specialists, including health",,83530
19-2042,"Geoscientists, except hydrologists and geographers",,31860
19-2043,Hydrologists,,7150
19-2099,"Physical scientists, all other",,25310
19-3011,Economists,,13160
19-3021,Market research analysts,,226410
19-3022,Survey researchers,,20300
19-3031,"Clinical, counseling, and school psychologists",,98330
19-3032,Industrial-organizational psychologists,,1710
19-3039,"Psychologists, all other",,10260
19-3041,Sociologists,,4430
19-3051,Urban and regional planners,,38950
