OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP
19-4093,Forest and conservation technicians,,29910
19-4099,"Life, physical, and social science technicians, all other",,72580
21-0000,Community and social services occupations,major,1673740
21-1011,Substance abuse and behavioral disorder counselors,,68880
21-1012,"Educational, vocational, and school counselors",,220690
21-1013,Marriage and family therapists,,20710
21-1014,Mental health counselors,,89300
21-1015,Rehabilitation counselors,,115150
21-1019,"Counselors, all other",,21970
21-1021,"Child, family, and school social workers",,250790
21-1022,Medical and public health social workers,,103180
21-1023,Mental health and substance abuse social workers,,108950
21-1029,"Social workers, all other",,60120
21-1091,Health educators,,46490
21-1092,Probation officers and correctional treatment specialists,,89170
21-1093,Social and human service assistants,,331860
21-1099,"Community and social service specialists, all other",,89250
21-2011,Clergy,,35790
21-2021,"Directors, religious activities and education",,12620
21-2099,"Religious workers, all other",,8810
23-0000,Legal occupations,major,958520
23-1011,Lawyers,,521130
23-1021,"Administrative law judges, adjudicators, and hearing officers",,14830
23-1022,"Arbitrators, mediators, and conciliators",,4940
23-1023,"Judges, magistrate judges, and magistrates",,25500
23-2011,Paralegals and legal assistants,,210020
23-2091,Court reporters,,15520
23-2092,Law clerks,,43300
23-2093,"Title examiners, abstractors, and searchers",,53700
23-2099,"Legal support workers, all other",,69590
25-0000,"Education, training, and library occupations",major,7891810
25-1011,"Business teachers, postsecondary",,68340
25-1021,"Computer science teachers, postsecondary",,37260
25-1022,"Mathematical science teachers, postsecondary",,43760
25-1031,"Architecture teachers, postsecondary",,5700
25-1032,"Engineering teachers, postsecondary",,33520
25-1041,"Agricultural sciences teachers, postsecondary",,10230
25-1042,"Biological science teachers, postsecondary",,60260
25-1043,"Forestry and conservation science teachers, postsecondary",,2970
25-1051,"Atmospheric, earth, marine, and space sciences teachers, postsecondary",,8660
25-1052,"Chemistry teachers, postsecondary",,18720
25-1053,"Environmental science teachers, postsecondary",,3860
25-1054,"Physics teachers, postsecondary",,12590
25-1061,"Anthropology and archeology teachers, postsecondary",,4990
25-1062,"Area, ethnic, and cultural studies teachers, postsecondary",,7670
25-1063,"Economics teachers, postsecondary",,12230
