OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP
00-0000,All Occupations,,135185230
11-0000,Management occupations,major,6152650
11-1011,Chief executives,,301930
11-1021,General and operations managers,,1697690
11-1031,Legislators,,64650
11-2011,Advertising and promotions managers,,36100
11-2021,Marketing managers,,166790
11-2022,Sales managers,,333910
11-2031,Public relations managers,,51730
11-3011,Administrative services managers,,246930
11-3021,Computer and information systems managers,,276820
11-3031,Financial managers,,500590
11-3041,Compensation and benefits managers,,38810
11-3042,Training and development managers,,29350
11-3049,"Human resources managers, all other",,60980
11-3051,Industrial production managers,,154030
11-3061,Purchasing managers,,67150
11-3071,"Transportation, storage, and distribution managers",,96300
11-9011,"Farm, ranch, and other agricultural managers",,3410
11-9012,Farmers and ranchers,,490
11-9021,Construction managers,,220550
11-9031,"Education administrators, preschool and child care center/program",,49630
11-9032,"Education administrators, elementary and secondary school",,219100
11-9033,"Education administrators, postsecondary",,97410
11-9039,"Education administrators, all other",,28090
11-9041,Engineering managers,,182300
11-9051,Food service managers,,196080
11-9061,Funeral directors,,25680
11-9071,Gaming managers,,3790
11-9081,Lodging managers,,32460
11-9111,Medical and health services managers,,258130
11-9121,Natural sciences managers,,43060
11-9131,Postmasters and mail superintendents,,26410
11-9141,"Property, real estate, and community association managers",,159700
11-9151,Social and community service managers,,117150
11-9199,"Managers, all other",,365460
13-0000,Business and financial operations occupations,major,6135520
13-1011,"Agents and business managers of artists, performers, and athletes",,12110
13-1021,"Purchasing agents and buyers, farm products",,13010
13-1022,"Wholesale and retail buyers, except farm products",,132420
13-1023,"Purchasing agents, except wholesale, retail, and farm products",,286990
13-1031,"Claims adjusters, examiners, and investigators",,277230
13-1032,"Insurance appraisers, auto damage",,11280
13-1041,"Compliance officers, except agriculture, construction, health and safety, and transportation",,242270
13-1051,Cost estimators,,218400
13-1061,Emergency management specialists,,12260
13-1071,"Employment, recruitment, and placement specialists",,205800
13-1072,"Compensation, benefits, and job analysis specialists",,116250
13-1073,Training and development specialists,,206890
13-1079,"Human resources, training, and labor relations specialists, all other",,217440
13-1081,Logisticians,,98590
13-1111,Management analysts,,535850
13-1121,Meeting and convention planners,,47960
13-1199,"Business operations specialists, all other",,1030320
13-2011,Accountants and auditors,,1133580
13-2021,Appraisers and assessors of real estate,,66260
13-2031,Budget analysts,,62630
13-2041,Credit analysts,,74400
13-2051,Financial analysts,,236720
13-2052,Personal financial advisors,,146690
13-2053,Insurance underwriters,,98690
13-2061,Financial examiners,,26020
13-2071,Loan counselors,,29430
13-2072,Loan officers,,321850
13-2081,"Tax examiners, collectors, and revenue agents",,66030
13-2082,Tax preparers,,63030
13-2099,"Financial specialists, all other",,145110
15-0000,Computer and mathematical science occupations,major,3308260
15-1011,"Computer and information scientists, research",,26610
15-1021,Computer programmers,,394230
15-1031,"Computer software engineers, applications",,494160
15-1032,"Computer software engineers, systems software",,381830
15-1041,Computer support specialists,,545520
15-1051,Computer systems analysts,,489890
15-1061,Database administrators,,115770
15-1071,Network and computer systems administrators,,327850
15-1081,Network systems and data communications analysts,,230410
15-1099,"Computer specialists, all other",,191780
15-2011,Actuaries,,18220
15-2021,Mathematicians,,2770
15-2031,Operations research analysts,,60860
15-2041,Statisticians,,20680
15-2091,Mathematical technicians,,1100
15-2099,"Mathematical scientists, all other",,6600
17-0000,Architecture and engineering occupations,major,2521630
17-1011,"Architects, except landscape and naval",,110990
17-1012,Landscape architects,,21130
17-1021,Cartographers and photogrammetrists,,11690
17-1022,Surveyors,,55780
17-2011,Aerospace engineers,,67800
17-2021,Agricultural engineers,,2640
17-2031,Biomedical engineers,,15220
17-2041,Chemical engineers,,30970
17-2051,Civil engineers,,261360
17-2061,Computer hardware engineers,,73370
17-2071,Electrical engineers,,154670
17-2072,"Electronics engineers, except computer",,139930
17-2081,Environmental engineers,,52590
17-2111,"Health and safety engineers, except mining safety engineers and inspectors",,25190
17-2112,Industrial engineers,,214580
17-2121,Marine engineers and naval architects,,6480
17-2131,Materials engineers,,24160
17-2141,Mechanical engineers,,233610
17-2151,"Mining and geological engineers, including mining safety engineers",,6900
17-2161,Nuclear engineers,,16640
17-2171,Petroleum engineers,,20880
17-2199,"Engineers, all other",,169240
17-3011,Architectural and civil drafters,,114910
17-3012,Electrical and electronics drafters,,32710
17-3013,Mechanical drafters,,77070
17-3019,"Drafters, all other",,20720
17-3021,Aerospace engineering and operations technicians,,8540
17-3022,Civil engineering technicians,,88140
17-3023,Electrical and electronic engineering technicians,,162330
17-3024,Electro-mechanical technicians,,16290
17-3025,Environmental engineering technicians,,20740
17-3026,Industrial engineering technicians,,72820
17-3027,Mechanical engineering technicians,,45770
17-3029,"Engineering technicians, except drafters, all other",,73870
17-3031,Surveying and mapping technicians,,71920
19-0000,"Life, physical, and social science occupations",major,1296840
19-1011,Animal scientists,,2760
19-1012,Food scientists and technologists,,10510
19-1013,Soil and plant scientists,,10790
19-1021,Biochemists and biophysicists,,22230
19-1022,Microbiologists,,15750
19-1023,Zoologists and wildlife biologists,,17780
19-1029,"Biological scientists, all other",,28290
19-1031,Conservation scientists,,15830
19-1032,Foresters,,10160
19-1041,Epidemiologists,,4370
19-1042,"Medical scientists, except epidemiologists",,99750
19-1099,"Life scientists, all other",,12030
19-2011,Astronomers,,1280
19-2012,Physicists,,14810
19-2021,Atmospheric and space scientists,,8860
19-2031,Chemists,,83080
19-2032,Materials scientists,,9650
19-2041,"Environmental scientists and specialists, including health",,80120
19-2042,"Geoscientists, except hydrologists and geographers",,31260
19-2043,Hydrologists,,7590
19-2099,"Physical scientists, all other",,22900
19-3011,Economists,,12600
19-3021,Market research analysts,,230070
19-3022,Survey researchers,,21100
19-3031,"Clinical, counseling, and school psychologists",,97880
19-3032,Industrial-organizational psychologists,,1460
19-3039,"Psychologists, all other",,9870
19-3041,Sociologists,,4390
19-3051,Urban and regional planners,,37120
19-3091,Anthropologists and archeologists,,5230
19-3092,Geographers,,1120
19-3093,Historians,,3700
19-3094,Political scientists,,3530
19-3099,"Social scientists and related workers, all other",,28680
19-4011,Agricultural and food science technicians,,18930
19-4021,Biological technicians,,72200
