ID,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP
0,00-0000,All Occupations,total,"140,400,040"
1,11-0000,Management Occupations,major,"7,090,790"
2,11-1000,Top Executives,minor,"2,465,800"
3,11-1010,Chief Executives,broad,"223,260"
4,11-1011,Chief Executives,detailed,"223,260"
5,11-1020,General and Operations Managers,broad,"2,188,870"
6,11-1021,General and Operations Managers,detailed,"2,188,870"
7,11-1030,Legislators,broad,"53,670"
8,11-1031,Legislators,detailed,"53,670"
9,11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",minor,"663,960"
10,11-2010,Advertising and Promotions Managers,broad,"28,860"
11,11-2011,Advertising and Promotions Managers,detailed,"28,860"
12,11-2020,Marketing and Sales Managers,broad,"571,120"
13,11-2021,Marketing Managers,detailed,"205,900"
14,11-2022,Sales Managers,detailed,"365,230"
15,11-2030,Public Relations and Fundraising Managers,broad,"63,970"
16,11-2031,Public Relations and Fundraising Managers,detailed,"63,970"
17,11-3000,Operations Specialties Managers,minor,"1,693,430"
18,11-3010,Administrative Services Managers,broad,"266,280"
19,11-3011,Administrative Services Managers,detailed,"266,280"
20,11-3020,Computer and Information Systems Managers,broad,"352,510"
21,11-3021,Computer and Information Systems Managers,detailed,"352,510"
22,11-3030,Financial Managers,broad,"543,300"
23,11-3031,Financial Managers,detailed,"543,300"
24,11-3050,Industrial Production Managers,broad,"168,400"
25,11-3051,Industrial Production Managers,detailed,"168,400"
26,11-3060,Purchasing Managers,broad,"71,750"
27,11-3061,Purchasing Managers,detailed,"71,750"
28,11-3070,"Transportation, Storage, and Distribution Managers",broad,"113,270"
29,11-3071,"Transportation, Storage, and Distribution Managers",detailed,"113,270"
30,11-3110,Compensation and Benefits Managers,broad,"15,230"
31,11-3111,Compensation and Benefits Managers,detailed,"15,230"
32,11-3120,Human Resources Managers,broad,"129,810"
33,11-3121,Human Resources Managers,detailed,"129,810"
34,11-3130,Training and Development Managers,broad,"32,880"
35,11-3131,Training and Development Managers,detailed,"32,880"
36,11-9000,Other Management Occupations,minor,"2,267,610"
37,11-9010,"Farmers, Ranchers, and Other Agricultural Managers",broad,"4,560"
38,11-9013,"Farmers, Ranchers, and Other Agricultural Managers",detailed,"4,560"
39,11-9020,Construction Managers,broad,"249,650"
40,11-9021,Construction Managers,detailed,"249,650"
41,11-9030,Education Administrators,broad,"464,070"
42,11-9031,"Education Administrators, Preschool and Childcare Center/Program",detailed,"48,530"
43,11-9032,"Education Administrators, Elementary and Secondary School",detailed,"242,970"
44,11-9033,"Education Administrators, Postsecondary",detailed,"138,430"
45,11-9039,"Education Administrators, All Other",detailed,"34,140"
46,11-9040,Architectural and Engineering Managers,broad,"178,390"
47,11-9041,Architectural and Engineering Managers,detailed,"178,390"
48,11-9050,Food Service Managers,broad,"201,470"
49,11-9051,Food Service Managers,detailed,"201,470"
50,11-9060,Funeral Service Managers,broad,"8,370"
51,11-9061,Funeral Service Managers,detailed,"8,370"
52,11-9070,Gaming Managers,broad,"4,280"
53,11-9071,Gaming Managers,detailed,"4,280"
54,11-9080,Lodging Managers,broad,"35,410"
55,11-9081,Lodging Managers,detailed,"35,410"
56,11-9110,Medical and Health Services Managers,broad,"332,150"
57,11-9111,Medical and Health Services Managers,detailed,"332,150"
58,11-9120,Natural Sciences Managers,broad,"54,780"
59,11-9121,Natural Sciences Managers,detailed,"54,780"
60,11-9130,Postmasters and Mail Superintendents,broad,"14,720"
61,11-9131,Postmasters and Mail Superintendents,detailed,"14,720"
62,11-9140,"Property, Real Estate, and Community Association Managers",broad,"180,290"
63,11-9141,"Property, Real Estate, and Community Association Managers",detailed,"180,290"
64,11-9150,Social and Community Service Managers,broad,"126,230"
65,11-9151,Social and Community Service Managers,detailed,"126,230"
66,11-9160,Emergency Management Directors,broad,"9,570"
67,11-9161,Emergency Management Directors,detailed,"9,570"
68,11-9190,Miscellaneous Managers,broad,"403,670"
69,11-9199,"Managers, All Other",detailed,"403,670"
70,13-0000,Business and Financial Operations Occupations,major,"7,281,190"
71,13-1000,Business Operations Specialists,minor,"4,629,810"
72,13-1010,"Agents and Business Managers of Artists, Performers, and Athletes",broad,"13,470"
73,13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",detailed,"13,470"
74,13-1020,Buyers and Purchasing Agents,broad,"418,530"
75,13-1021,"Buyers and Purchasing Agents, Farm Products",detailed,"11,490"
76,13-1022,"Wholesale and Retail Buyers, Except Farm Products",detailed,"109,440"
77,13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",detailed,"297,600"
78,13-1030,"Claims Adjusters, Appraisers, Examiners, and Investigators",broad,"289,550"
