ID,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP
79,13-1031,"Claims Adjusters, Examiners, and Investigators",detailed,"274,420"
80,13-1032,"Insurance Appraisers, Auto Damage",detailed,"15,130"
81,13-1040,Compliance Officers,broad,"273,910"
82,13-1041,Compliance Officers,detailed,"273,910"
83,13-1050,Cost Estimators,broad,"214,610"
84,13-1051,Cost Estimators,detailed,"214,610"
85,13-1070,Human Resources Workers,broad,"605,040"
86,13-1071,Human Resources Specialists,detailed,"524,800"
87,13-1074,Farm Labor Contractors,detailed,810
88,13-1075,Labor Relations Specialists,detailed,"79,430"
89,13-1080,Logisticians,broad,"146,060"
90,13-1081,Logisticians,detailed,"146,060"
91,13-1110,Management Analysts,broad,"637,690"
92,13-1111,Management Analysts,detailed,"637,690"
93,13-1120,"Meeting, Convention, and Event Planners",broad,"95,850"
94,13-1121,"Meeting, Convention, and Event Planners",detailed,"95,850"
95,13-1130,Fundraisers,broad,"68,910"
96,13-1131,Fundraisers,detailed,"68,910"
97,13-1140,"Compensation, Benefits, and Job Analysis Specialists",broad,"79,190"
98,13-1141,"Compensation, Benefits, and Job Analysis Specialists",detailed,"79,190"
99,13-1150,Training and Development Specialists,broad,"269,710"
100,13-1151,Training and Development Specialists,detailed,"269,710"
101,13-1160,Market Research Analysts and Marketing Specialists,broad,"558,630"
102,13-1161,Market Research Analysts and Marketing Specialists,detailed,"558,630"
103,13-1190,Miscellaneous Business Operations Specialists,broad,"958,670"
104,13-1199,"Business Operations Specialists, All Other",detailed,"958,670"
105,13-2000,Financial Specialists,minor,"2,651,370"
106,13-2010,Accountants and Auditors,broad,"1,246,540"
107,13-2011,Accountants and Auditors,detailed,"1,246,540"
108,13-2020,Appraisers and Assessors of Real Estate,broad,"60,770"
109,13-2021,Appraisers and Assessors of Real Estate,detailed,"60,770"
110,13-2030,Budget Analysts,broad,"54,700"
111,13-2031,Budget Analysts,detailed,"54,700"
112,13-2040,Credit Analysts,broad,"72,930"
113,13-2041,Credit Analysts,detailed,"72,930"
114,13-2050,Financial Analysts and Advisors,broad,"575,110"
115,13-2051,Financial Analysts,detailed,"281,610"
116,13-2052,Personal Financial Advisors,detailed,"201,850"
117,13-2053,Insurance Underwriters,detailed,"91,650"
118,13-2060,Financial Examiners,broad,"49,750"
119,13-2061,Financial Examiners,detailed,"49,750"
120,13-2070,Credit Counselors and Loan Officers,broad,"339,800"
121,13-2071,Credit Counselors,detailed,"34,110"
122,13-2072,Loan Officers,detailed,"305,700"
123,13-2080,"Tax Examiners, Collectors and Preparers, and Revenue Agents",broad,"128,480"
124,13-2081,"Tax Examiners and Collectors, and Revenue Agents",detailed,"58,450"
125,13-2082,Tax Preparers,detailed,"70,030"
126,13-2090,Miscellaneous Financial Specialists,broad,"123,270"
127,13-2099,"Financial Specialists, All Other",detailed,"123,270"
128,15-0000,Computer and Mathematical Occupations,major,"4,165,140"
129,15-1100,Computer Occupations,minor,"3,997,370"
130,15-1110,Computer and Information Research Scientists,broad,"26,580"
131,15-1111,Computer and Information Research Scientists,detailed,"26,580"
132,15-1120,Computer and Information Analysts,broad,"665,830"
133,15-1121,Computer Systems Analysts,detailed,"568,960"
134,15-1122,Information Security Analysts,detailed,"96,870"
135,15-1130,Software Developers and Programmers,broad,"1,604,570"
136,15-1131,Computer Programmers,detailed,"271,200"
137,15-1132,"Software Developers, Applications",detailed,"794,000"
138,15-1133,"Software Developers, Systems Software",detailed,"409,820"
139,15-1134,Web Developers,detailed,"129,540"
140,15-1140,Database and Systems Administrators and Network Architects,broad,"647,610"
141,15-1141,Database Administrators,detailed,"113,730"
142,15-1142,Network and Computer Systems Administrators,detailed,"376,820"
143,15-1143,Computer Network Architects,detailed,"157,070"
144,15-1150,Computer Support Specialists,broad,"791,580"
145,15-1151,Computer User Support Specialists,detailed,"602,840"
146,15-1152,Computer Network Support Specialists,detailed,"188,740"
147,15-1190,Miscellaneous Computer Occupations,broad,"261,210"
148,15-1199,"Computer Occupations, All Other",detailed,"261,210"
149,15-2000,Mathematical Science Occupations,minor,"167,770"
150,15-2010,Actuaries,broad,"19,940"
151,15-2011,Actuaries,detailed,"19,940"
152,15-2020,Mathematicians,broad,"2,730"
153,15-2021,Mathematicians,detailed,"2,730"
154,15-2030,Operations Research Analysts,broad,"109,150"
155,15-2031,Operations Research Analysts,detailed,"109,150"
156,15-2040,Statisticians,broad,"33,440"
157,15-2041,Statisticians,detailed,"33,440"
158,15-2090,Miscellaneous Mathematical Science Occupations,broad,"2,510"
159,15-2091,Mathematical Technicians,detailed,510
160,15-2099,"Mathematical Science Occupations, All Other",detailed,"2,000"
161,17-0000,Architecture and Engineering Occupations,major,"2,499,050"
162,17-1000,"Architects, Surveyors, and Cartographers",minor,"174,720"
163,17-1010,"Architects, Except Naval",broad,"119,280"
164,17-1011,"Architects, Except Landscape and Naval",detailed,"99,860"
165,17-1012,Landscape Architects,detailed,"19,420"
166,17-1020,"Surveyors, Cartographers, and Photogrammetrists",broad,"55,440"
167,17-1021,Cartographers and Photogrammetrists,detailed,"12,100"
168,17-1022,Surveyors,detailed,"43,340"
169,17-2000,Engineers,minor,"1,635,420"
170,17-2010,Aerospace Engineers,broad,"68,510"
171,17-2011,Aerospace Engineers,detailed,"68,510"
172,17-2020,Agricultural Engineers,broad,"1,980"
173,17-2021,Agricultural Engineers,detailed,"1,980"
174,17-2030,Biomedical Engineers,broad,"20,590"
175,17-2031,Biomedical Engineers,detailed,"20,590"
176,17-2040,Chemical Engineers,broad,"31,990"
177,17-2041,Chemical Engineers,detailed,"31,990"
178,17-2050,Civil Engineers,broad,"287,800"
179,17-2051,Civil Engineers,detailed,"287,800"
180,17-2060,Computer Hardware Engineers,broad,"72,950"
181,17-2061,Computer Hardware Engineers,detailed,"72,950"
182,17-2070,Electrical and Electronics Engineers,broad,"315,870"
183,17-2071,Electrical Engineers,detailed,"183,770"
184,17-2072,"Electronics Engineers, Except Computer",detailed,"132,100"
185,17-2080,Environmental Engineers,broad,"52,280"
186,17-2081,Environmental Engineers,detailed,"52,280"
187,17-2110,"Industrial Engineers, Including Health and Safety",broad,"281,950"
188,17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",detailed,"25,410"
189,17-2112,Industrial Engineers,detailed,"256,550"
190,17-2120,Marine Engineers and Naval Architects,broad,"8,120"
191,17-2121,Marine Engineers and Naval Architects,detailed,"8,120"
192,17-2130,Materials Engineers,broad,"26,800"
193,17-2131,Materials Engineers,detailed,"26,800"
194,17-2140,Mechanical Engineers,broad,"285,790"
195,17-2141,Mechanical Engineers,detailed,"285,790"
196,17-2150,"Mining and Geological Engineers, Including Mining Safety Engineers",broad,"6,940"
197,17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",detailed,"6,940"
198,17-2160,Nuclear Engineers,broad,"17,680"
199,17-2161,Nuclear Engineers,detailed,"17,680"
200,17-2170,Petroleum Engineers,broad,"32,780"
201,17-2171,Petroleum Engineers,detailed,"32,780"
202,17-2190,Miscellaneous Engineers,broad,"123,390"
203,17-2199,"Engineers, All Other",detailed,"123,390"
204,17-3000,"Drafters, Engineering Technicians, and Mapping Technicians",minor,"688,900"
205,17-3010,Drafters,broad,"202,710"
206,17-3011,Architectural and Civil Drafters,detailed,"96,810"
207,17-3012,Electrical and Electronics Drafters,detailed,"26,750"
208,17-3013,Mechanical Drafters,detailed,"63,630"
209,17-3019,"Drafters, All Other",detailed,"15,530"
210,17-3020,"Engineering Technicians, Except Drafters",broad,"432,270"
211,17-3021,Aerospace Engineering and Operations Technicians,detailed,"11,970"
212,17-3022,Civil Engineering Technicians,detailed,"72,150"
213,17-3023,Electrical and Electronics Engineering Technicians,detailed,"134,870"
214,17-3024,Electro-Mechanical Technicians,detailed,"13,710"
215,17-3025,Environmental Engineering Technicians,detailed,"16,550"
216,17-3026,Industrial Engineering Technicians,detailed,"63,220"
217,17-3027,Mechanical Engineering Technicians,detailed,"45,510"
218,17-3029,"Engineering Technicians, Except Drafters, All Other",detailed,"74,290"
219,17-3030,Surveying and Mapping Technicians,broad,"53,920"
220,17-3031,Surveying and Mapping Technicians,detailed,"53,920"
221,19-0000,"Life, Physical, and Social Science Occupations",major,"1,152,840"
222,19-1000,Life Scientists,minor,"286,390"
223,19-1010,Agricultural and Food Scientists,broad,"31,350"
224,19-1011,Animal Scientists,detailed,"2,470"
225,19-1012,Food Scientists and Technologists,detailed,"14,200"
226,19-1013,Soil and Plant Scientists,detailed,"14,690"
227,19-1020,Biological Scientists,broad,"103,690"
228,19-1021,Biochemists and Biophysicists,detailed,"29,200"
229,19-1022,Microbiologists,detailed,"21,670"
230,19-1023,Zoologists and Wildlife Biologists,detailed,"17,720"
231,19-1029,"Biological Scientists, All Other",detailed,"35,110"
232,19-1030,Conservation Scientists and Foresters,broad,"28,890"
233,19-1031,Conservation Scientists,detailed,"20,470"
234,19-1032,Foresters,detailed,"8,420"
235,19-1040,Medical Scientists,broad,"114,560"
236,19-1041,Epidemiologists,detailed,"5,690"
237,19-1042,"Medical Scientists, Except Epidemiologists",detailed,"108,870"
238,19-1090,Miscellaneous Life Scientists,broad,"7,890"
239,19-1099,"Life Scientists, All Other",detailed,"7,890"
240,19-2000,Physical Scientists,minor,"262,640"
241,19-2010,Astronomers and Physicists,broad,"18,510"
242,19-2011,Astronomers,detailed,"1,830"
243,19-2012,Physicists,detailed,"16,680"
244,19-2020,Atmospheric and Space Scientists,broad,"9,800"
245,19-2021,Atmospheric and Space Scientists,detailed,"9,800"
246,19-2030,Chemists and Materials Scientists,broad,"94,410"
247,19-2031,Chemists,detailed,"86,660"
248,19-2032,Materials Scientists,detailed,"7,750"
249,19-2040,Environmental Scientists and Geoscientists,broad,"120,970"
250,19-2041,"Environmental Scientists and Specialists, Including Health",detailed,"84,250"
251,19-2042,"Geoscientists, Except Hydrologists and Geographers",detailed,"30,420"
252,19-2043,Hydrologists,detailed,"6,300"
253,19-2090,Miscellaneous Physical Scientists,broad,"18,960"
254,19-2099,"Physical Scientists, All Other",detailed,"18,960"
255,19-3000,Social Scientists and Related Workers,minor,"244,820"
256,19-3010,Economists,broad,"19,380"
257,19-3011,Economists,detailed,"19,380"
258,19-3020,Survey Researchers,broad,"11,930"
259,19-3022,Survey Researchers,detailed,"11,930"
260,19-3030,Psychologists,broad,"122,310"
261,19-3031,"Clinical, Counseling, and School Psychologists",detailed,"107,980"
262,19-3032,Industrial-Organizational Psychologists,detailed,"1,020"
263,19-3039,"Psychologists, All Other",detailed,"13,310"
264,19-3040,Sociologists,broad,"2,870"
265,19-3041,Sociologists,detailed,"2,870"
266,19-3050,Urban and Regional Planners,broad,"34,810"
267,19-3051,Urban and Regional Planners,detailed,"34,810"
268,19-3090,Miscellaneous Social Scientists and Related Workers,broad,"53,530"
269,19-3091,Anthropologists and Archeologists,detailed,"6,470"
270,19-3092,Geographers,detailed,"1,370"
271,19-3093,Historians,detailed,"2,950"
272,19-3094,Political Scientists,detailed,"6,350"
273,19-3099,"Social Scientists and Related Workers, All Other",detailed,"36,380"
274,19-4000,"Life, Physical, and Social Science Technicians",minor,"358,980"
275,19-4010,Agricultural and Food Science Technicians,broad,"20,420"
276,19-4011,Agricultural and Food Science Technicians,detailed,"20,420"
277,19-4020,Biological Technicians,broad,"74,720"
278,19-4021,Biological Technicians,detailed,"74,720"
279,19-4030,Chemical Technicians,broad,"65,510"
280,19-4031,Chemical Technicians,detailed,"65,510"
281,19-4040,Geological and Petroleum Technicians,broad,"15,100"
282,19-4041,Geological and Petroleum Technicians,detailed,"15,100"
283,19-4050,Nuclear Technicians,broad,"6,840"
284,19-4051,Nuclear Technicians,detailed,"6,840"
285,19-4060,Social Science Research Assistants,broad,"30,030"
286,19-4061,Social Science Research Assistants,detailed,"30,030"
287,19-4090,"Miscellaneous Life, Physical, and Social Science Technicians",broad,"146,370"
288,19-4091,"Environmental Science and Protection Technicians, Including Health",detailed,"32,950"
289,19-4092,Forensic Science Technicians,detailed,"14,800"
290,19-4093,Forest and Conservation Technicians,detailed,"30,090"
291,19-4099,"Life, Physical, and Social Science Technicians, All Other",detailed,"68,540"
292,21-0000,Community and Social Service Occupations,major,"2,019,250"
293,21-1000,"Counselors, Social Workers, and Other Community and Social Service Specialists",minor,"1,941,090"
294,21-1010,Counselors,broad,"659,890"
295,21-1011,Substance Abuse and Behavioral Disorder Counselors,detailed,"91,040"
296,21-1012,"Educational, Guidance, School, and Vocational Counselors",detailed,"260,670"
297,21-1013,Marriage and Family Therapists,detailed,"36,960"
298,21-1014,Mental Health Counselors,detailed,"139,820"
299,21-1015,Rehabilitation Counselors,detailed,"103,030"
300,21-1019,"Counselors, All Other",detailed,"28,380"
301,21-1020,Social Workers,broad,"631,730"
302,21-1021,"Child, Family, and School Social Workers",detailed,"298,840"
303,21-1022,Healthcare Social Workers,detailed,"159,310"
304,21-1023,Mental Health and Substance Abuse Social Workers,detailed,"114,040"
305,21-1029,"Social Workers, All Other",detailed,"59,540"
306,21-1090,Miscellaneous Community and Social Service Specialists,broad,"649,470"
307,21-1091,Health Educators,detailed,"57,570"
308,21-1092,Probation Officers and Correctional Treatment Specialists,detailed,"87,500"
309,21-1093,Social and Human Service Assistants,detailed,"360,650"
310,21-1094,Community Health Workers,detailed,"51,900"
311,21-1099,"Community and Social Service Specialists, All Other",detailed,"91,860"
312,21-2000,Religious Workers,minor,"78,160"
313,21-2010,Clergy,broad,"49,320"
314,21-2011,Clergy,detailed,"49,320"
315,21-2020,"Directors, Religious Activities and Education",broad,"20,590"
316,21-2021,"Directors, Religious Activities and Education",detailed,"20,590"
317,21-2090,Miscellaneous Religious Workers,broad,"8,250"
318,21-2099,"Religious Workers, All Other",detailed,"8,250"
319,23-0000,Legal Occupations,major,"1,075,520"
320,23-1000,"Lawyers, Judges, and Related Workers",minor,"680,990"
321,23-1010,Lawyers and Judicial Law Clerks,broad,"632,940"
322,23-1011,Lawyers,detailed,"619,530"
323,23-1012,Judicial Law Clerks,detailed,"13,410"
324,23-1020,"Judges, Magistrates, and Other Judicial Workers",broad,"48,050"
325,23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",detailed,"14,540"
326,23-1022,"Arbitrators, Mediators, and Conciliators",detailed,"6,300"
327,23-1023,"Judges, Magistrate Judges, and Magistrates",detailed,"27,210"
328,23-2000,Legal Support Workers,minor,"394,530"
329,23-2010,Paralegals and Legal Assistants,broad,"277,310"
330,23-2011,Paralegals and Legal Assistants,detailed,"277,310"
331,23-2090,Miscellaneous Legal Support Workers,broad,"117,220"
332,23-2091,Court Reporters,detailed,"17,700"
333,23-2093,"Title Examiners, Abstractors, and Searchers",detailed,"54,560"
334,23-2099,"Legal Support Workers, All Other",detailed,"44,960"
335,25-0000,"Education, Training, and Library Occupations",major,"8,636,430"
336,25-1000,Postsecondary Teachers,minor,"1,530,010"
337,25-1010,"Business Teachers, Postsecondary",broad,"83,030"
338,25-1011,"Business Teachers, Postsecondary",detailed,"83,030"
339,25-1020,"Math and Computer Teachers, Postsecondary",broad,"84,560"
340,25-1021,"Computer Science Teachers, Postsecondary",detailed,"32,540"
341,25-1022,"Mathematical Science Teachers, Postsecondary",detailed,"52,020"
342,25-1030,"Engineering and Architecture Teachers, Postsecondary",broad,"45,370"
343,25-1031,"Architecture Teachers, Postsecondary",detailed,"7,370"
344,25-1032,"Engineering Teachers, Postsecondary",detailed,"38,000"
345,25-1040,"Life Sciences Teachers, Postsecondary",broad,"62,920"
346,25-1041,"Agricultural Sciences Teachers, Postsecondary",detailed,"10,340"
347,25-1042,"Biological Science Teachers, Postsecondary",detailed,"50,820"
348,25-1043,"Forestry and Conservation Science Teachers, Postsecondary",detailed,"1,750"
349,25-1050,"Physical Sciences Teachers, Postsecondary",broad,"51,780"
350,25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",detailed,"10,850"
351,25-1052,"Chemistry Teachers, Postsecondary",detailed,"21,250"
352,25-1053,"Environmental Science Teachers, Postsecondary",detailed,"5,520"
353,25-1054,"Physics Teachers, Postsecondary",detailed,"14,160"
354,25-1060,"Social Sciences Teachers, Postsecondary",broad,"114,230"
355,25-1061,"Anthropology and Archeology Teachers, Postsecondary",detailed,"5,700"
356,25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",detailed,"9,060"
357,25-1063,"Economics Teachers, Postsecondary",detailed,"13,060"
358,25-1064,"Geography Teachers, Postsecondary",detailed,"4,140"
359,25-1065,"Political Science Teachers, Postsecondary",detailed,"16,720"
360,25-1066,"Psychology Teachers, Postsecondary",detailed,"37,640"
361,25-1067,"Sociology Teachers, Postsecondary",detailed,"14,580"
362,25-1069,"Social Sciences Teachers, Postsecondary, All Other",detailed,"13,320"
363,25-1070,"Health Teachers, Postsecondary",broad,"242,940"
364,25-1071,"Health Specialties Teachers, Postsecondary",detailed,"186,740"
365,25-1072,"Nursing Instructors and Teachers, Postsecondary",detailed,"56,210"
366,25-1080,"Education and Library Science Teachers, Postsecondary",broad,"63,720"
367,25-1081,"Education Teachers, Postsecondary",detailed,"58,850"
368,25-1082,"Library Science Teachers, Postsecondary",detailed,"4,870"
369,25-1110,"Law, Criminal Justice, and Social Work Teachers, Postsecondary",broad,"42,490"
370,25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary",detailed,"14,620"
371,25-1112,"Law Teachers, Postsecondary",detailed,"16,010"
372,25-1113,"Social Work Teachers, Postsecondary",detailed,"11,860"
373,25-1120,"Arts, Communications, and Humanities Teachers, Postsecondary",broad,"272,170"
374,25-1121,"Art, Drama, and Music Teachers, Postsecondary",detailed,"99,020"
375,25-1122,"Communications Teachers, Postsecondary",detailed,"28,180"
376,25-1123,"English Language and Literature Teachers, Postsecondary",detailed,"71,270"
377,25-1124,"Foreign Language and Literature Teachers, Postsecondary",detailed,"28,720"
378,25-1125,"History Teachers, Postsecondary",detailed,"21,800"
379,25-1126,"Philosophy and Religion Teachers, Postsecondary",detailed,"23,180"
380,25-1190,Miscellaneous Postsecondary Teachers,broad,"466,790"
381,25-1191,Graduate Teaching Assistants,detailed,"135,130"
382,25-1192,"Home Economics Teachers, Postsecondary",detailed,"2,970"
383,25-1193,"Recreation and Fitness Studies Teachers, Postsecondary",detailed,"17,390"
384,25-1194,"Vocational Education Teachers, Postsecondary",detailed,"116,430"
385,25-1199,"Postsecondary Teachers, All Other",detailed,"194,870"
386,25-2000,"Preschool, Primary, Secondary, and Special Education School Teachers",minor,"4,133,490"
387,25-2010,Preschool and Kindergarten Teachers,broad,"536,840"
388,25-2011,"Preschool Teachers, Except Special Education",detailed,"385,550"
389,25-2012,"Kindergarten Teachers, Except Special Education",detailed,"151,290"
390,25-2020,Elementary and Middle School Teachers,broad,"2,031,700"
391,25-2021,"Elementary School Teachers, Except Special Education",detailed,"1,392,660"
392,25-2022,"Middle School Teachers, Except Special and Career/Technical Education",detailed,"626,310"
393,25-2023,"Career/Technical Education Teachers, Middle School",detailed,"12,730"
394,25-2030,Secondary School Teachers,broad,"1,083,350"
395,25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",detailed,"1,003,250"
396,25-2032,"Career/Technical Education Teachers, Secondary School",detailed,"80,100"
397,25-2050,Special Education Teachers,broad,"481,600"
398,25-2051,"Special Education Teachers, Preschool",detailed,"28,140"
399,25-2052,"Special Education Teachers, Kindergarten and Elementary School",detailed,"190,530"
400,25-2053,"Special Education Teachers, Middle School",detailed,"90,250"
401,25-2054,"Special Education Teachers, Secondary School",detailed,"132,490"
402,25-2059,"Special Education Teachers, All Other",detailed,"40,190"
403,25-3000,Other Teachers and Instructors,minor,"1,191,570"
404,25-3010,Adult Basic and Secondary Education and Literacy Teachers and Instructors,broad,"58,810"
405,25-3011,Adult Basic and Secondary Education and Literacy Teachers and Instructors,detailed,"58,810"
406,25-3020,Self-Enrichment Education Teachers,broad,"229,840"
407,25-3021,Self-Enrichment Education Teachers,detailed,"229,840"
408,25-3090,Miscellaneous Teachers and Instructors,broad,"902,910"
409,25-3097,"Teachers and Instructors, All Other, Except Substitute Teachers",detailed,"292,950"
410,25-3098,Substitute Teachers,detailed,"609,960"
411,25-4000,"Librarians, Curators, and Archivists",minor,"250,660"
412,25-4010,"Archivists, Curators, and Museum Technicians",broad,"27,900"
413,25-4011,Archivists,detailed,"5,760"
414,25-4012,Curators,detailed,"11,170"
415,25-4013,Museum Technicians and Conservators,detailed,"10,970"
416,25-4020,Librarians,broad,"129,350"
417,25-4021,Librarians,detailed,"129,350"
418,25-4030,Library Technicians,broad,"93,410"
419,25-4031,Library Technicians,detailed,"93,410"
420,25-9000,"Other Education, Training, and Library Occupations",minor,"1,530,700"
421,25-9010,Audio-Visual and Multimedia Collections Specialists,broad,"10,300"
422,25-9011,Audio-Visual and Multimedia Collections Specialists,detailed,"10,300"
423,25-9020,Farm and Home Management Advisors,broad,"8,620"
424,25-9021,Farm and Home Management Advisors,detailed,"8,620"
425,25-9030,Instructional Coordinators,broad,"147,330"
426,25-9031,Instructional Coordinators,detailed,"147,330"
427,25-9040,Teacher Assistants,broad,"1,263,820"
428,25-9041,Teacher Assistants,detailed,"1,263,820"
429,25-9090,"Miscellaneous Education, Training, and Library Workers",broad,"100,640"
430,25-9099,"Education, Training, and Library Workers, All Other",detailed,"100,640"
431,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,"1,902,970"
432,27-1000,Art and Design Workers,minor,"582,550"
433,27-1010,Artists and Related Workers,broad,"89,620"
434,27-1011,Art Directors,detailed,"36,210"
435,27-1012,Craft Artists,detailed,"5,070"
436,27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators",detailed,"11,520"
437,27-1014,Multimedia Artists and Animators,detailed,"29,810"
438,27-1019,"Artists and Related Workers, All Other",detailed,"7,010"
439,27-1020,Designers,broad,"492,930"
440,27-1021,Commercial and Industrial Designers,detailed,"31,860"
441,27-1022,Fashion Designers,detailed,"19,230"
442,27-1023,Floral Designers,detailed,"43,990"
443,27-1024,Graphic Designers,detailed,"210,710"
444,27-1025,Interior Designers,detailed,"53,160"
445,27-1026,Merchandise Displayers and Window Trimmers,detailed,"114,690"
446,27-1027,Set and Exhibit Designers,detailed,"12,060"
447,27-1029,"Designers, All Other",detailed,"7,230"
448,27-2000,"Entertainers and Performers, Sports and Related Workers",minor,"509,840"
449,27-2010,"Actors, Producers, and Directors",broad,"163,130"
450,27-2011,Actors,detailed,"48,620"
451,27-2012,Producers and Directors,detailed,"114,510"
452,27-2020,"Athletes, Coaches, Umpires, and Related Workers",broad,"259,850"
453,27-2021,Athletes and Sports Competitors,detailed,"10,260"
454,27-2022,Coaches and Scouts,detailed,"230,930"
455,27-2023,"Umpires, Referees, and Other Sports Officials",detailed,"18,660"
456,27-2030,Dancers and Choreographers,broad,"15,220"
457,27-2031,Dancers,detailed,"10,060"
458,27-2032,Choreographers,detailed,"5,160"
459,27-2040,"Musicians, Singers, and Related Workers",broad,"58,490"
460,27-2041,Music Directors and Composers,detailed,"18,380"
461,27-2042,Musicians and Singers,detailed,"40,110"
