,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP
108,13-2020,Appraisers and Assessors of Real Estate,broad,"60,290"
109,13-2021,Appraisers and Assessors of Real Estate,detailed,"60,290"
110,13-2030,Budget Analysts,broad,"56,300"
111,13-2031,Budget Analysts,detailed,"56,300"
112,13-2040,Credit Analysts,broad,"70,840"
113,13-2041,Credit Analysts,detailed,"70,840"
114,13-2050,Financial Analysts and Advisors,broad,"555,900"
115,13-2051,Financial Analysts,detailed,"268,360"
116,13-2052,Personal Financial Advisors,detailed,"197,580"
117,13-2053,Insurance Underwriters,detailed,"89,960"
118,13-2060,Financial Examiners,broad,"44,200"
119,13-2061,Financial Examiners,detailed,"44,200"
120,13-2070,Credit Counselors and Loan Officers,broad,"334,380"
121,13-2071,Credit Counselors,detailed,"30,510"
122,13-2072,Loan Officers,detailed,"303,870"
123,13-2080,"Tax Examiners, Collectors and Preparers, and Revenue Agents",broad,"131,700"
124,13-2081,"Tax Examiners and Collectors, and Revenue Agents",detailed,"59,640"
125,13-2082,Tax Preparers,detailed,"72,060"
126,13-2090,Miscellaneous Financial Specialists,broad,"127,250"
127,13-2099,"Financial Specialists, All Other",detailed,"127,250"
128,15-0000,Computer and Mathematical Occupations,major,"4,005,250"
129,15-1100,Computer Occupations,minor,"3,853,860"
130,15-1110,Computer and Information Research Scientists,broad,"25,510"
131,15-1111,Computer and Information Research Scientists,detailed,"25,510"
132,15-1120,Computer and Information Analysts,broad,"645,550"
133,15-1121,Computer Systems Analysts,detailed,"556,660"
134,15-1122,Information Security Analysts,detailed,"88,880"
135,15-1130,Software Developers and Programmers,broad,"1,554,960"
136,15-1131,Computer Programmers,detailed,"289,420"
137,15-1132,"Software Developers, Applications",detailed,"747,730"
138,15-1133,"Software Developers, Systems Software",detailed,"390,750"
139,15-1134,Web Developers,detailed,"127,070"
140,15-1140,Database and Systems Administrators and Network Architects,broad,"634,850"
141,15-1141,Database Administrators,detailed,"113,770"
142,15-1142,Network and Computer Systems Administrators,detailed,"374,480"
143,15-1143,Computer Network Architects,detailed,"146,600"
144,15-1150,Computer Support Specialists,broad,"769,630"
145,15-1151,Computer User Support Specialists,detailed,"585,060"
146,15-1152,Computer Network Support Specialists,detailed,"184,570"
147,15-1190,Miscellaneous Computer Occupations,broad,"223,370"
148,15-1199,"Computer Occupations, All Other",detailed,"223,370"
149,15-2000,Mathematical Science Occupations,minor,"151,380"
150,15-2010,Actuaries,broad,"19,770"
151,15-2011,Actuaries,detailed,"19,770"
152,15-2020,Mathematicians,broad,"3,170"
153,15-2021,Mathematicians,detailed,"3,170"
154,15-2030,Operations Research Analysts,broad,"95,860"
155,15-2031,Operations Research Analysts,detailed,"95,860"
156,15-2040,Statisticians,broad,"29,870"
157,15-2041,Statisticians,detailed,"29,870"
158,15-2090,Miscellaneous Mathematical Science Occupations,broad,"2,700"
159,15-2091,Mathematical Technicians,detailed,820
160,15-2099,"Mathematical Science Occupations, All Other",detailed,"1,880"
161,17-0000,Architecture and Engineering Occupations,major,"2,475,390"
162,17-1000,"Architects, Surveyors, and Cartographers",minor,"168,660"
163,17-1010,"Architects, Except Naval",broad,"113,550"
164,17-1011,"Architects, Except Landscape and Naval",detailed,"93,720"
165,17-1012,Landscape Architects,detailed,"19,820"
166,17-1020,"Surveyors, Cartographers, and Photogrammetrists",broad,"55,110"
167,17-1021,Cartographers and Photogrammetrists,detailed,"11,970"
168,17-1022,Surveyors,detailed,"43,140"
169,17-2000,Engineers,minor,"1,610,480"
170,17-2010,Aerospace Engineers,broad,"66,980"
171,17-2011,Aerospace Engineers,detailed,"66,980"
172,17-2020,Agricultural Engineers,broad,"2,330"
173,17-2021,Agricultural Engineers,detailed,"2,330"
174,17-2030,Biomedical Engineers,broad,"20,890"
175,17-2031,Biomedical Engineers,detailed,"20,890"
176,17-2040,Chemical Engineers,broad,"32,230"
177,17-2041,Chemical Engineers,detailed,"32,230"
178,17-2050,Civil Engineers,broad,"275,210"
179,17-2051,Civil Engineers,detailed,"275,210"
180,17-2060,Computer Hardware Engineers,broad,"75,870"
181,17-2061,Computer Hardware Engineers,detailed,"75,870"
182,17-2070,Electrical and Electronics Engineers,broad,"313,970"
183,17-2071,Electrical Engineers,detailed,"178,580"
184,17-2072,"Electronics Engineers, Except Computer",detailed,"135,390"
185,17-2080,Environmental Engineers,broad,"52,600"
186,17-2081,Environmental Engineers,detailed,"52,600"
187,17-2110,"Industrial Engineers, Including Health and Safety",broad,"272,470"
188,17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",detailed,"24,900"
189,17-2112,Industrial Engineers,detailed,"247,570"
190,17-2120,Marine Engineers and Naval Architects,broad,"7,600"
191,17-2121,Marine Engineers and Naval Architects,detailed,"7,600"
192,17-2130,Materials Engineers,broad,"27,040"
193,17-2131,Materials Engineers,detailed,"27,040"
194,17-2140,Mechanical Engineers,broad,"278,340"
195,17-2141,Mechanical Engineers,detailed,"278,340"
196,17-2150,"Mining and Geological Engineers, Including Mining Safety Engineers",broad,"8,000"
197,17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",detailed,"8,000"
198,17-2160,Nuclear Engineers,broad,"16,880"
199,17-2161,Nuclear Engineers,detailed,"16,880"
200,17-2170,Petroleum Engineers,broad,"34,600"
201,17-2171,Petroleum Engineers,detailed,"34,600"
202,17-2190,Miscellaneous Engineers,broad,"125,460"
203,17-2199,"Engineers, All Other",detailed,"125,460"
204,17-3000,"Drafters, Engineering Technicians, and Mapping Technicians",minor,"696,250"
205,17-3010,Drafters,broad,"205,190"
206,17-3011,Architectural and Civil Drafters,detailed,"95,280"
207,17-3012,Electrical and Electronics Drafters,detailed,"29,200"
208,17-3013,Mechanical Drafters,detailed,"65,250"
209,17-3019,"Drafters, All Other",detailed,"15,470"
210,17-3020,"Engineering Technicians, Except Drafters",broad,"437,440"
211,17-3021,Aerospace Engineering and Operations Technicians,detailed,"12,890"
212,17-3022,Civil Engineering Technicians,detailed,"71,440"
213,17-3023,Electrical and Electronics Engineering Technicians,detailed,"139,080"
214,17-3024,Electro-Mechanical Technicians,detailed,"14,720"
215,17-3025,Environmental Engineering Technicians,detailed,"17,360"
216,17-3026,Industrial Engineering Technicians,detailed,"62,290"
217,17-3027,Mechanical Engineering Technicians,detailed,"48,910"
218,17-3029,"Engineering Technicians, Except Drafters, All Other",detailed,"70,750"
219,17-3030,Surveying and Mapping Technicians,broad,"53,620"
220,17-3031,Surveying and Mapping Technicians,detailed,"53,620"
221,19-0000,"Life, Physical, and Social Science Occupations",major,"1,146,110"
222,19-1000,Life Scientists,minor,"281,440"
223,19-1010,Agricultural and Food Scientists,broad,"31,700"
224,19-1011,Animal Scientists,detailed,"2,430"
225,19-1012,Food Scientists and Technologists,detailed,"14,660"
226,19-1013,Soil and Plant Scientists,detailed,"14,610"
227,19-1020,Biological Scientists,broad,"101,970"
228,19-1021,Biochemists and Biophysicists,detailed,"30,800"
229,19-1022,Microbiologists,detailed,"21,210"
230,19-1023,Zoologists and Wildlife Biologists,detailed,"17,910"
231,19-1029,"Biological Scientists, All Other",detailed,"32,050"
