,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP
459,27-2040,"Musicians, Singers, and Related Workers",broad,"58,630"
460,27-2041,Music Directors and Composers,detailed,"21,540"
461,27-2042,Musicians and Singers,detailed,"37,090"
462,27-2090,"Miscellaneous Entertainers and Performers, Sports and Related Workers",broad,"14,570"
463,27-2099,"Entertainers and Performers, Sports and Related Workers, All Other",detailed,"14,570"
464,27-3000,Media and Communication Workers,minor,"564,800"
465,27-3010,Announcers,broad,"38,380"
466,27-3011,Radio and Television Announcers,detailed,"30,390"
467,27-3012,Public Address System and Other Announcers,detailed,"8,000"
468,27-3020,"News Analysts, Reporters and Correspondents",broad,"45,790"
469,27-3021,Broadcast News Analysts,detailed,"4,730"
470,27-3022,Reporters and Correspondents,detailed,"41,050"
471,27-3030,Public Relations Specialists,broad,"218,910"
472,27-3031,Public Relations Specialists,detailed,"218,910"
473,27-3040,Writers and Editors,broad,"189,840"
474,27-3041,Editors,detailed,"96,690"
475,27-3042,Technical Writers,detailed,"49,770"
476,27-3043,Writers and Authors,detailed,"43,380"
477,27-3090,Miscellaneous Media and Communication Workers,broad,"71,890"
478,27-3091,Interpreters and Translators,detailed,"49,650"
479,27-3099,"Media and Communication Workers, All Other",detailed,"22,240"
480,27-4000,Media and Communication Equipment Workers,minor,"220,950"
481,27-4010,Broadcast and Sound Engineering Technicians and Radio Operators,broad,"105,500"
482,27-4011,Audio and Video Equipment Technicians,detailed,"62,460"
483,27-4012,Broadcast Technicians,detailed,"28,270"
484,27-4013,Radio Operators,detailed,940
485,27-4014,Sound Engineering Technicians,detailed,"13,840"
486,27-4020,Photographers,broad,"50,070"
487,27-4021,Photographers,detailed,"50,070"
488,27-4030,"Television, Video, and Motion Picture Camera Operators and Editors",broad,"47,710"
489,27-4031,"Camera Operators, Television, Video, and Motion Picture",detailed,"20,060"
490,27-4032,Film and Video Editors,detailed,"27,660"
491,27-4090,Miscellaneous Media and Communication Equipment Workers,broad,"17,670"
492,27-4099,"Media and Communication Equipment Workers, All Other",detailed,"17,670"
493,29-0000,Healthcare Practitioners and Technical Occupations,major,"8,021,800"
494,29-1000,Health Diagnosing and Treating Practitioners,minor,"4,960,900"
495,29-1010,Chiropractors,broad,"32,080"
496,29-1011,Chiropractors,detailed,"32,080"
497,29-1020,Dentists,broad,"116,750"
498,29-1021,"Dentists, General",detailed,"100,080"
499,29-1022,Oral and Maxillofacial Surgeons,detailed,"5,000"
500,29-1023,Orthodontists,detailed,"5,410"
501,29-1024,Prosthodontists,detailed,710
502,29-1029,"Dentists, All Other Specialists",detailed,"5,550"
503,29-1030,Dietitians and Nutritionists,broad,"59,740"
504,29-1031,Dietitians and Nutritionists,detailed,"59,740"
505,29-1040,Optometrists,broad,"35,300"
506,29-1041,Optometrists,detailed,"35,300"
507,29-1050,Pharmacists,broad,"295,620"
508,29-1051,Pharmacists,detailed,"295,620"
509,29-1060,Physicians and Surgeons,broad,"642,720"
510,29-1061,Anesthesiologists,detailed,"29,220"
511,29-1062,Family and General Practitioners,detailed,"127,430"
512,29-1063,"Internists, General",detailed,"48,920"
513,29-1064,Obstetricians and Gynecologists,detailed,"20,090"
514,29-1065,"Pediatricians, General",detailed,"28,660"
515,29-1066,Psychiatrists,detailed,"24,060"
516,29-1067,Surgeons,detailed,"41,600"
517,29-1069,"Physicians and Surgeons, All Other",detailed,"322,740"
518,29-1070,Physician Assistants,broad,"98,470"
519,29-1071,Physician Assistants,detailed,"98,470"
520,29-1080,Podiatrists,broad,"9,500"
521,29-1081,Podiatrists,detailed,"9,500"
522,29-1120,Therapists,broad,"628,440"
523,29-1122,Occupational Therapists,detailed,"114,660"
524,29-1123,Physical Therapists,detailed,"209,690"
525,29-1124,Radiation Therapists,detailed,"16,930"
526,29-1125,Recreational Therapists,detailed,"17,880"
527,29-1126,Respiratory Therapists,detailed,"120,330"
528,29-1127,Speech-Language Pathologists,detailed,"131,450"
529,29-1128,Exercise Physiologists,detailed,"6,620"
530,29-1129,"Therapists, All Other",detailed,"10,890"
531,29-1130,Veterinarians,broad,"65,650"
532,29-1131,Veterinarians,detailed,"65,650"
533,29-1140,Registered Nurses,broad,"2,745,910"
534,29-1141,Registered Nurses,detailed,"2,745,910"
535,29-1150,Nurse Anesthetists,broad,"39,410"
536,29-1151,Nurse Anesthetists,detailed,"39,410"
537,29-1160,Nurse Midwives,broad,"7,430"
538,29-1161,Nurse Midwives,detailed,"7,430"
539,29-1170,Nurse Practitioners,broad,"136,060"
540,29-1171,Nurse Practitioners,detailed,"136,060"
541,29-1180,Audiologists,broad,"12,070"
542,29-1181,Audiologists,detailed,"12,070"
543,29-1190,Miscellaneous Health Diagnosing and Treating Practitioners,broad,"35,750"
544,29-1199,"Health Diagnosing and Treating Practitioners, All Other",detailed,"35,750"
545,29-2000,Health Technologists and Technicians,minor,"2,909,230"
546,29-2010,Clinical Laboratory Technologists and Technicians,broad,"320,550"
547,29-2011,Medical and Clinical Laboratory Technologists,detailed,"162,950"
548,29-2012,Medical and Clinical Laboratory Technicians,detailed,"157,610"
549,29-2020,Dental Hygienists,broad,"200,550"
550,29-2021,Dental Hygienists,detailed,"200,550"
551,29-2030,Diagnostic Related Technologists and Technicians,broad,"361,430"
552,29-2031,Cardiovascular Technologists and Technicians,detailed,"51,400"
553,29-2032,Diagnostic Medical Sonographers,detailed,"61,250"
554,29-2033,Nuclear Medicine Technologists,detailed,"19,740"
555,29-2034,Radiologic Technologists,detailed,"195,590"
556,29-2035,Magnetic Resonance Imaging Technologists,detailed,"33,460"
557,29-2040,Emergency Medical Technicians and Paramedics,broad,"236,890"
558,29-2041,Emergency Medical Technicians and Paramedics,detailed,"236,890"
559,29-2050,Health Practitioner Support Technologists and Technicians,broad,"712,050"
560,29-2051,Dietetic Technicians,detailed,"28,950"
561,29-2052,Pharmacy Technicians,detailed,"379,430"
562,29-2053,Psychiatric Technicians,detailed,"58,450"
563,29-2054,Respiratory Therapy Technicians,detailed,"10,000"
564,29-2055,Surgical Technologists,detailed,"100,270"
565,29-2056,Veterinary Technologists and Technicians,detailed,"95,790"
566,29-2057,Ophthalmic Medical Technicians,detailed,"39,160"
567,29-2060,Licensed Practical and Licensed Vocational Nurses,broad,"697,250"
568,29-2061,Licensed Practical and Licensed Vocational Nurses,detailed,"697,250"
569,29-2070,Medical Records and Health Information Technicians,broad,"189,930"
570,29-2071,Medical Records and Health Information Technicians,detailed,"189,930"
571,29-2080,"Opticians, Dispensing",broad,"73,520"
572,29-2081,"Opticians, Dispensing",detailed,"73,520"
573,29-2090,Miscellaneous Health Technologists and Technicians,broad,"117,040"
574,29-2091,Orthotists and Prosthetists,detailed,"7,100"
575,29-2092,Hearing Aid Specialists,detailed,"5,920"
576,29-2099,"Health Technologists and Technicians, All Other",detailed,"104,020"
577,29-9000,Other Healthcare Practitioners and Technical Occupations,minor,"151,680"
578,29-9010,Occupational Health and Safety Specialists and Technicians,broad,"86,270"
579,29-9011,Occupational Health and Safety Specialists,detailed,"70,220"
580,29-9012,Occupational Health and Safety Technicians,detailed,"16,050"
581,29-9090,Miscellaneous Health Practitioners and Technical Workers,broad,"65,410"
582,29-9091,Athletic Trainers,detailed,"23,450"
583,29-9092,Genetic Counselors,detailed,"2,520"
584,29-9099,"Healthcare Practitioners and Technical Workers, All Other",detailed,"39,440"
585,31-0000,Healthcare Support Occupations,major,"3,989,910"
586,31-1000,"Nursing, Psychiatric, and Home Health Aides",minor,"2,363,400"
587,31-1010,"Nursing, Psychiatric, and Home Health Aides",broad,"2,363,400"
588,31-1011,Home Health Aides,detailed,"820,630"
589,31-1013,Psychiatric Aides,detailed,"69,550"
590,31-1014,Nursing Assistants,detailed,"1,420,570"
591,31-1015,Orderlies,detailed,"52,660"
592,31-2000,Occupational Therapy and Physical Therapist Assistants and Aides,minor,"174,800"
593,31-2010,Occupational Therapy Assistants and Aides,broad,"43,030"
594,31-2011,Occupational Therapy Assistants,detailed,"35,460"
595,31-2012,Occupational Therapy Aides,detailed,"7,570"
596,31-2020,Physical Therapist Assistants and Aides,broad,"131,770"
597,31-2021,Physical Therapist Assistants,detailed,"81,230"
598,31-2022,Physical Therapist Aides,detailed,"50,540"
599,31-9000,Other Healthcare Support Occupations,minor,"1,451,710"
600,31-9010,Massage Therapists,broad,"92,090"
601,31-9011,Massage Therapists,detailed,"92,090"
602,31-9090,Miscellaneous Healthcare Support Occupations,broad,"1,359,620"
603,31-9091,Dental Assistants,detailed,"323,110"
604,31-9092,Medical Assistants,detailed,"601,240"
605,31-9093,Medical Equipment Preparers,detailed,"50,330"
606,31-9094,Medical Transcriptionists,detailed,"57,830"
607,31-9095,Pharmacy Aides,detailed,"38,040"
608,31-9096,Veterinary Assistants and Laboratory Animal Caretakers,detailed,"75,620"
609,31-9097,Phlebotomists,detailed,"118,160"
610,31-9099,"Healthcare Support Workers, All Other",detailed,"95,290"
611,33-0000,Protective Service Occupations,major,"3,351,620"
612,33-1000,Supervisors of Protective Service Workers,minor,"270,660"
613,33-1010,First-Line Supervisors of Law Enforcement Workers,broad,"142,890"
614,33-1011,First-Line Supervisors of Correctional Officers,detailed,"42,520"
615,33-1012,First-Line Supervisors of Police and Detectives,detailed,"100,370"
616,33-1020,First-Line Supervisors of Fire Fighting and Prevention Workers,broad,"58,110"
617,33-1021,First-Line Supervisors of Fire Fighting and Prevention Workers,detailed,"58,110"
618,33-1090,"Miscellaneous First-Line Supervisors, Protective Service Workers",broad,"69,660"
619,33-1099,"First-Line Supervisors of Protective Service Workers, All Other",detailed,"69,660"
620,33-2000,Fire Fighting and Prevention Workers,minor,"332,730"
621,33-2010,Firefighters,broad,"318,790"
622,33-2011,Firefighters,detailed,"318,790"
623,33-2020,Fire Inspectors,broad,"13,940"
624,33-2021,Fire Inspectors and Investigators,detailed,"12,290"
625,33-2022,Forest Fire Inspectors and Prevention Specialists,detailed,"1,650"
626,33-3000,Law Enforcement Workers,minor,"1,223,890"
627,33-3010,"Bailiffs, Correctional Officers, and Jailers",broad,"445,520"
628,33-3011,Bailiffs,detailed,"17,730"
629,33-3012,Correctional Officers and Jailers,detailed,"427,790"
630,33-3020,Detectives and Criminal Investigators,broad,"106,580"
631,33-3021,Detectives and Criminal Investigators,detailed,"106,580"
632,33-3030,Fish and Game Wardens,broad,"5,630"
633,33-3031,Fish and Game Wardens,detailed,"5,630"
634,33-3040,Parking Enforcement Workers,broad,"8,710"
635,33-3041,Parking Enforcement Workers,detailed,"8,710"
636,33-3050,Police Officers,broad,"657,460"
637,33-3051,Police and Sheriff's Patrol Officers,detailed,"653,740"
638,33-3052,Transit and Railroad Police,detailed,"3,720"
639,33-9000,Other Protective Service Workers,minor,"1,524,340"
640,33-9010,Animal Control Workers,broad,"13,180"
641,33-9011,Animal Control Workers,detailed,"13,180"
642,33-9020,Private Detectives and Investigators,broad,"30,460"
643,33-9021,Private Detectives and Investigators,detailed,"30,460"
644,33-9030,Security Guards and Gaming Surveillance Officers,broad,"1,108,310"
645,33-9031,Gaming Surveillance Officers and Gaming Investigators,detailed,"10,650"
646,33-9032,Security Guards,detailed,"1,097,660"
647,33-9090,Miscellaneous Protective Service Workers,broad,"372,390"
648,33-9091,Crossing Guards,detailed,"68,640"
649,33-9092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",detailed,"141,670"
650,33-9093,Transportation Security Screeners,detailed,"41,820"
651,33-9099,"Protective Service Workers, All Other",detailed,"120,270"
652,35-0000,Food Preparation and Serving Related Occupations,major,"12,577,080"
653,35-1000,Supervisors of Food Preparation and Serving Workers,minor,"1,013,460"
654,35-1010,Supervisors of Food Preparation and Serving Workers,broad,"1,013,460"
655,35-1011,Chefs and Head Cooks,detailed,"129,370"
656,35-1012,First-Line Supervisors of Food Preparation and Serving Workers,detailed,"884,090"
657,35-2000,Cooks and Food Preparation Workers,minor,"3,147,210"
658,35-2010,Cooks,broad,"2,284,470"
659,35-2011,"Cooks, Fast Food",detailed,"520,010"
660,35-2012,"Cooks, Institution and Cafeteria",detailed,"404,980"
661,35-2013,"Cooks, Private Household",detailed,380
662,35-2014,"Cooks, Restaurant",detailed,"1,150,760"
663,35-2015,"Cooks, Short Order",detailed,"193,170"
664,35-2019,"Cooks, All Other",detailed,"15,160"
665,35-2020,Food Preparation Workers,broad,"862,740"
666,35-2021,Food Preparation Workers,detailed,"862,740"
667,35-3000,Food and Beverage Serving Workers,minor,"7,054,960"
668,35-3010,Bartenders,broad,"589,150"
669,35-3011,Bartenders,detailed,"589,150"
670,35-3020,Fast Food and Counter Workers,broad,"3,703,110"
671,35-3021,"Combined Food Preparation and Serving Workers, Including Fast Food",detailed,"3,216,460"
672,35-3022,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",detailed,"486,650"
673,35-3030,Waiters and Waitresses,broad,"2,505,630"
674,35-3031,Waiters and Waitresses,detailed,"2,505,630"
675,35-3040,"Food Servers, Nonrestaurant",broad,"257,070"
676,35-3041,"Food Servers, Nonrestaurant",detailed,"257,070"
677,35-9000,Other Food Preparation and Serving Related Workers,minor,"1,361,450"
678,35-9010,Dining Room and Cafeteria Attendants and Bartender Helpers,broad,"412,830"
679,35-9011,Dining Room and Cafeteria Attendants and Bartender Helpers,detailed,"412,830"
680,35-9020,Dishwashers,broad,"505,000"
681,35-9021,Dishwashers,detailed,"505,000"
682,35-9030,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",broad,"391,150"
683,35-9031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",detailed,"391,150"
684,35-9090,Miscellaneous Food Preparation and Serving Related Workers,broad,"52,470"
685,35-9099,"Food Preparation and Serving Related Workers, All Other",detailed,"52,470"
686,37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,"4,407,050"
687,37-1000,Supervisors of Building and Grounds Cleaning and Maintenance Workers,minor,"270,360"
688,37-1010,First-Line Supervisors of Building and Grounds Cleaning and Maintenance Workers,broad,"270,360"
689,37-1011,First-Line Supervisors of Housekeeping and Janitorial Workers,detailed,"166,920"
690,37-1012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",detailed,"103,450"
691,37-2000,Building Cleaning and Pest Control Workers,minor,"3,159,840"
692,37-2010,Building Cleaning Workers,broad,"3,089,590"
693,37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",detailed,"2,146,880"
694,37-2012,Maids and Housekeeping Cleaners,detailed,"926,240"
695,37-2019,"Building Cleaning Workers, All Other",detailed,"16,480"
696,37-2020,Pest Control Workers,broad,"70,250"
697,37-2021,Pest Control Workers,detailed,"70,250"
698,37-3000,Grounds Maintenance Workers,minor,"976,840"
699,37-3010,Grounds Maintenance Workers,broad,"976,840"
700,37-3011,Landscaping and Groundskeeping Workers,detailed,"895,600"
701,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",detailed,"24,200"
702,37-3013,Tree Trimmers and Pruners,detailed,"40,160"
703,37-3019,"Grounds Maintenance Workers, All Other",detailed,"16,890"
704,39-0000,Personal Care and Service Occupations,major,"4,307,500"
705,39-1000,Supervisors of Personal Care and Service Workers,minor,"208,040"
706,39-1010,First-Line Supervisors of Gaming Workers,broad,"30,340"
707,39-1011,Gaming Supervisors,detailed,"22,640"
708,39-1012,Slot Supervisors,detailed,"7,700"
709,39-1020,First-Line Supervisors of Personal Service Workers,broad,"177,700"
710,39-1021,First-Line Supervisors of Personal Service Workers,detailed,"177,700"
711,39-2000,Animal Care and Service Workers,minor,"185,780"
712,39-2010,Animal Trainers,broad,"11,720"
713,39-2011,Animal Trainers,detailed,"11,720"
714,39-2020,Nonfarm Animal Caretakers,broad,"174,060"
715,39-2021,Nonfarm Animal Caretakers,detailed,"174,060"
716,39-3000,Entertainment Attendants and Related Workers,minor,"551,590"
717,39-3010,Gaming Services Workers,broad,"119,540"
718,39-3011,Gaming Dealers,detailed,"94,900"
719,39-3012,Gaming and Sports Book Writers and Runners,detailed,"12,370"
720,39-3019,"Gaming Service Workers, All Other",detailed,"12,280"
721,39-3020,Motion Picture Projectionists,broad,"5,620"
722,39-3021,Motion Picture Projectionists,detailed,"5,620"
723,39-3030,"Ushers, Lobby Attendants, and Ticket Takers",broad,"114,000"
724,39-3031,"Ushers, Lobby Attendants, and Ticket Takers",detailed,"114,000"
725,39-3090,Miscellaneous Entertainment Attendants and Related Workers,broad,"312,430"
726,39-3091,Amusement and Recreation Attendants,detailed,"273,870"
727,39-3092,Costume Attendants,detailed,"6,120"
728,39-3093,"Locker Room, Coatroom, and Dressing Room Attendants",detailed,"17,430"
729,39-3099,"Entertainment Attendants and Related Workers, All Other",detailed,"15,010"
730,39-4000,Funeral Service Workers,minor,"64,470"
731,39-4010,Embalmers,broad,"3,710"
732,39-4011,Embalmers,detailed,"3,710"
733,39-4020,Funeral Attendants,broad,"35,290"
734,39-4021,Funeral Attendants,detailed,"35,290"
735,39-4030,"Morticians, Undertakers, and Funeral Directors",broad,"25,470"
736,39-4031,"Morticians, Undertakers, and Funeral Directors",detailed,"25,470"
737,39-5000,Personal Appearance Workers,minor,"504,640"
738,39-5010,"Barbers, Hairdressers, Hairstylists and Cosmetologists",broad,"362,360"
739,39-5011,Barbers,detailed,"14,350"
740,39-5012,"Hairdressers, Hairstylists, and Cosmetologists",detailed,"348,010"
741,39-5090,Miscellaneous Personal Appearance Workers,broad,"142,280"
742,39-5091,"Makeup Artists, Theatrical and Performance",detailed,"3,060"
743,39-5092,Manicurists and Pedicurists,detailed,"83,840"
744,39-5093,Shampooers,detailed,"15,190"
745,39-5094,Skincare Specialists,detailed,"40,190"
746,39-6000,"Baggage Porters, Bellhops, and Concierges",minor,"77,980"
747,39-6010,"Baggage Porters, Bellhops, and Concierges",broad,"77,980"
748,39-6011,Baggage Porters and Bellhops,detailed,"46,550"
749,39-6012,Concierges,detailed,"31,430"
750,39-7000,Tour and Travel Guides,minor,"38,740"
751,39-7010,Tour and Travel Guides,broad,"38,740"
752,39-7011,Tour Guides and Escorts,detailed,"35,930"
753,39-7012,Travel Guides,detailed,"2,810"
754,39-9000,Other Personal Care and Service Workers,minor,"2,676,260"
755,39-9010,Childcare Workers,broad,"573,440"
756,39-9011,Childcare Workers,detailed,"573,440"
757,39-9020,Personal Care Aides,broad,"1,369,230"
758,39-9021,Personal Care Aides,detailed,"1,369,230"
759,39-9030,Recreation and Fitness Workers,broad,"573,920"
760,39-9031,Fitness Trainers and Aerobics Instructors,detailed,"237,760"
761,39-9032,Recreation Workers,detailed,"336,150"
762,39-9040,Residential Advisors,broad,"102,540"
763,39-9041,Residential Advisors,detailed,"102,540"
764,39-9090,Miscellaneous Personal Care and Service Workers,broad,"57,140"
765,39-9099,"Personal Care and Service Workers, All Other",detailed,"57,140"
766,41-0000,Sales and Related Occupations,major,"14,462,120"
767,41-1000,Supervisors of Sales Workers,minor,"1,441,700"
768,41-1010,First-Line Supervisors of Sales Workers,broad,"1,441,700"
769,41-1011,First-Line Supervisors of Retail Sales Workers,detailed,"1,193,850"
770,41-1012,First-Line Supervisors of Non-Retail Sales Workers,detailed,"247,850"
771,41-2000,Retail Sales Workers,minor,"8,799,250"
772,41-2010,Cashiers,broad,"3,501,210"
773,41-2011,Cashiers,detailed,"3,478,420"
774,41-2012,Gaming Change Persons and Booth Cashiers,detailed,"22,790"
775,41-2020,Counter and Rental Clerks and Parts Salespersons,broad,"685,520"
776,41-2021,Counter and Rental Clerks,detailed,"447,050"
777,41-2022,Parts Salespersons,detailed,"238,470"
778,41-2030,Retail Salespersons,broad,"4,612,510"
779,41-2031,Retail Salespersons,detailed,"4,612,510"
780,41-3000,"Sales Representatives, Services",minor,"1,808,330"
781,41-3010,Advertising Sales Agents,broad,"149,770"
782,41-3011,Advertising Sales Agents,detailed,"149,770"
783,41-3020,Insurance Sales Agents,broad,"386,140"
784,41-3021,Insurance Sales Agents,detailed,"386,140"
785,41-3030,"Securities, Commodities, and Financial Services Sales Agents",broad,"319,280"
786,41-3031,"Securities, Commodities, and Financial Services Sales Agents",detailed,"319,280"
787,41-3040,Travel Agents,broad,"66,560"
788,41-3041,Travel Agents,detailed,"66,560"
789,41-3090,"Miscellaneous Sales Representatives, Services",broad,"886,580"
790,41-3099,"Sales Representatives, Services, All Other",detailed,"886,580"
791,41-4000,"Sales Representatives, Wholesale and Manufacturing",minor,"1,743,560"
792,41-4010,"Sales Representatives, Wholesale and Manufacturing",broad,"1,743,560"
793,41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",detailed,"334,010"
794,41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",detailed,"1,409,550"
795,41-9000,Other Sales and Related Workers,minor,"669,270"
796,41-9010,"Models, Demonstrators, and Product Promoters",broad,"88,080"
797,41-9011,Demonstrators and Product Promoters,detailed,"83,620"
798,41-9012,Models,detailed,"4,460"
799,41-9020,Real Estate Brokers and Sales Agents,broad,"190,510"
800,41-9021,Real Estate Brokers,detailed,"38,810"
801,41-9022,Real Estate Sales Agents,detailed,"151,700"
802,41-9030,Sales Engineers,broad,"72,200"
803,41-9031,Sales Engineers,detailed,"72,200"
804,41-9040,Telemarketers,broad,"226,730"
805,41-9041,Telemarketers,detailed,"226,730"
806,41-9090,Miscellaneous Sales and Related Workers,broad,"91,760"
807,41-9091,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",detailed,"7,510"
808,41-9099,"Sales and Related Workers, All Other",detailed,"84,240"
809,43-0000,Office and Administrative Support Occupations,major,"21,846,420"
810,43-1000,Supervisors of Office and Administrative Support Workers,minor,"1,424,450"
811,43-1010,First-Line Supervisors of Office and Administrative Support Workers,broad,"1,424,450"
812,43-1011,First-Line Supervisors of Office and Administrative Support Workers,detailed,"1,424,450"
813,43-2000,Communications Equipment Operators,minor,"112,260"
814,43-2010,"Switchboard Operators, Including Answering Service",broad,"100,500"
815,43-2011,"Switchboard Operators, Including Answering Service",detailed,"100,500"
816,43-2020,Telephone Operators,broad,"9,750"
817,43-2021,Telephone Operators,detailed,"9,750"
818,43-2090,Miscellaneous Communications Equipment Operators,broad,"2,010"
819,43-2099,"Communications Equipment Operators, All Other",detailed,"2,010"
820,43-3000,Financial Clerks,minor,"3,179,250"
821,43-3010,Bill and Account Collectors,broad,"318,970"
822,43-3011,Bill and Account Collectors,detailed,"318,970"
823,43-3020,Billing and Posting Clerks,broad,"491,070"
824,43-3021,Billing and Posting Clerks,detailed,"491,070"
825,43-3030,"Bookkeeping, Accounting, and Auditing Clerks",broad,"1,580,220"
826,43-3031,"Bookkeeping, Accounting, and Auditing Clerks",detailed,"1,580,220"
827,43-3040,Gaming Cage Workers,broad,"17,650"
828,43-3041,Gaming Cage Workers,detailed,"17,650"
829,43-3050,Payroll and Timekeeping Clerks,broad,"166,700"
830,43-3051,Payroll and Timekeeping Clerks,detailed,"166,700"
831,43-3060,Procurement Clerks,broad,"71,470"
832,43-3061,Procurement Clerks,detailed,"71,470"
833,43-3070,Tellers,broad,"498,460"
834,43-3071,Tellers,detailed,"498,460"
835,43-3090,Miscellaneous Financial Clerks,broad,"34,700"
836,43-3099,"Financial Clerks, All Other",detailed,"34,700"
837,43-4000,Information and Record Clerks,minor,"5,513,250"
838,43-4010,Brokerage Clerks,broad,"57,490"
839,43-4011,Brokerage Clerks,detailed,"57,490"
840,43-4020,Correspondence Clerks,broad,"7,320"
841,43-4021,Correspondence Clerks,detailed,"7,320"
842,43-4030,"Court, Municipal, and License Clerks",broad,"130,190"
843,43-4031,"Court, Municipal, and License Clerks",detailed,"130,190"
844,43-4040,"Credit Authorizers, Checkers, and Clerks",broad,"41,880"
845,43-4041,"Credit Authorizers, Checkers, and Clerks",detailed,"41,880"
846,43-4050,Customer Service Representatives,broad,"2,595,990"
847,43-4051,Customer Service Representatives,detailed,"2,595,990"
848,43-4060,"Eligibility Interviewers, Government Programs",broad,"130,420"
849,43-4061,"Eligibility Interviewers, Government Programs",detailed,"130,420"
850,43-4070,File Clerks,broad,"140,560"
851,43-4071,File Clerks,detailed,"140,560"
852,43-4080,"Hotel, Motel, and Resort Desk Clerks",broad,"243,210"
853,43-4081,"Hotel, Motel, and Resort Desk Clerks",detailed,"243,210"
854,43-4110,"Interviewers, Except Eligibility and Loan",broad,"184,050"
855,43-4111,"Interviewers, Except Eligibility and Loan",detailed,"184,050"
856,43-4120,"Library Assistants, Clerical",broad,"100,090"
857,43-4121,"Library Assistants, Clerical",detailed,"100,090"
858,43-4130,Loan Interviewers and Clerks,broad,"216,380"
859,43-4131,Loan Interviewers and Clerks,detailed,"216,380"
860,43-4140,New Accounts Clerks,broad,"48,970"
861,43-4141,New Accounts Clerks,detailed,"48,970"
862,43-4150,Order Clerks,broad,"185,890"
863,43-4151,Order Clerks,detailed,"185,890"
864,43-4160,"Human Resources Assistants, Except Payroll and Timekeeping",broad,"138,910"
865,43-4161,"Human Resources Assistants, Except Payroll and Timekeeping",detailed,"138,910"
866,43-4170,Receptionists and Information Clerks,broad,"975,890"
867,43-4171,Receptionists and Information Clerks,detailed,"975,890"
868,43-4180,Reservation and Transportation Ticket Agents and Travel Clerks,broad,"138,810"
869,43-4181,Reservation and Transportation Ticket Agents and Travel Clerks,detailed,"138,810"
870,43-4190,Miscellaneous Information and Record Clerks,broad,"177,210"
871,43-4199,"Information and Record Clerks, All Other",detailed,"177,210"
872,43-5000,"Material Recording, Scheduling, Dispatching, and Distributing Workers",minor,"3,973,740"
873,43-5010,Cargo and Freight Agents,broad,"81,120"
874,43-5011,Cargo and Freight Agents,detailed,"81,120"
875,43-5020,Couriers and Messengers,broad,"73,180"
876,43-5021,Couriers and Messengers,detailed,"73,180"
877,43-5030,Dispatchers,broad,"292,570"
878,43-5031,"Police, Fire, and Ambulance Dispatchers",detailed,"95,630"
879,43-5032,"Dispatchers, Except Police, Fire, and Ambulance",detailed,"196,940"
880,43-5040,"Meter Readers, Utilities",broad,"34,970"
881,43-5041,"Meter Readers, Utilities",detailed,"34,970"
882,43-5050,Postal Service Workers,broad,"504,540"
883,43-5051,Postal Service Clerks,detailed,"78,660"
884,43-5052,Postal Service Mail Carriers,detailed,"315,950"
885,43-5053,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",detailed,"109,930"
886,43-5060,"Production, Planning, and Expediting Clerks",broad,"309,110"
887,43-5061,"Production, Planning, and Expediting Clerks",detailed,"309,110"
888,43-5070,"Shipping, Receiving, and Traffic Clerks",broad,"674,820"
889,43-5071,"Shipping, Receiving, and Traffic Clerks",detailed,"674,820"
890,43-5080,Stock Clerks and Order Fillers,broad,"1,934,060"
891,43-5081,Stock Clerks and Order Fillers,detailed,"1,934,060"
892,43-5110,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",broad,"69,360"
893,43-5111,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",detailed,"69,360"
894,43-6000,Secretaries and Administrative Assistants,minor,"3,680,630"
895,43-6010,Secretaries and Administrative Assistants,broad,"3,680,630"
896,43-6011,Executive Secretaries and Executive Administrative Assistants,detailed,"666,490"
897,43-6012,Legal Secretaries,detailed,"202,660"
898,43-6013,Medical Secretaries,detailed,"530,360"
899,43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",detailed,"2,281,120"
900,43-9000,Other Office and Administrative Support Workers,minor,"3,962,840"
901,43-9010,Computer Operators,broad,"51,510"
902,43-9011,Computer Operators,detailed,"51,510"
903,43-9020,Data Entry and Information Processing Workers,broad,"267,900"
904,43-9021,Data Entry Keyers,detailed,"199,240"
905,43-9022,Word Processors and Typists,detailed,"68,660"
906,43-9030,Desktop Publishers,broad,"13,240"
907,43-9031,Desktop Publishers,detailed,"13,240"
908,43-9040,Insurance Claims and Policy Processing Clerks,broad,"262,910"
