OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP
00-0000,All Occupations,,     130307840
11-0000,Management occupations,major,       5960560
11-1011,Chief executives,,        321300
11-1021,General and operations managers,,       1663810
11-1031,Legislators,,         61060
11-2011,Advertising and promotions managers,,         41710
11-2021,Marketing managers,,        166470
11-2022,Sales managers,,        317970
11-2031,Public relations managers,,         43770
11-3011,Administrative services managers,,        239410
11-3021,Computer and information systems managers,,        259330
11-3031,Financial managers,,        471950
11-3041,Compensation and benefits managers,,         51470
11-3042,Training and development managers,,         28720
11-3049,"Human resources managers, all other",,         57830
11-3051,Industrial production managers,,        153950
11-3061,Purchasing managers,,         69300
11-3071,"Transportation, storage, and distribution managers",,         84870
11-9011,"Farm, ranch, and other agricultural managers",,          4070
11-9012,Farmers and ranchers,,           350
11-9021,Construction managers,,        192610
11-9031,"Education administrators, preschool and child care center/program",,         47670
11-9032,"Education administrators, elementary and secondary school",,        213250
11-9033,"Education administrators, postsecondary",,        105360
11-9039,"Education administrators, all other",,         24710
11-9041,Engineering managers,,        187410
11-9051,Food service managers,,        191420
11-9061,Funeral directors,,         21960
11-9071,Gaming managers,,          3310
11-9081,Lodging managers,,         31040
11-9111,Medical and health services managers,,        230130
11-9121,Natural sciences managers,,         40400
11-9131,Postmasters and mail superintendents,,         26120
11-9141,"Property, real estate, and community association managers",,        154230
11-9151,Social and community service managers,,        112910
11-9199,"Managers, all other",,        340720
13-0000,Business and financial operations occupations,major,       5410410
13-1011,"Agents and business managers of artists, performers, and athletes",,         10640
13-1021,"Purchasing agents and buyers, farm products",,         12970
13-1022,"Wholesale and retail buyers, except farm products",,        132900
13-1023,"Purchasing agents, except wholesale, retail, and farm products",,        267410
13-1031,"Claims adjusters, examiners, and investigators",,        234030
13-1032,"Insurance appraisers, auto damage",,         12900
13-1041,"Compliance officers, except agriculture, construction, health and safety, and transportation",,        161810
13-1051,Cost estimators,,        204330
13-1061,Emergency management specialists,,         11240
13-1071,"Employment, recruitment, and placement specialists",,        181260
13-1072,"Compensation, benefits, and job analysis specialists",,         97740
13-1073,Training and development specialists,,        206860
13-1079,"Human resources, training, and labor relations specialists, all other",,        171880
13-1081,Logisticians,,         52220
13-1111,Management analysts,,        441000
13-1121,Meeting and convention planners,,         40040
13-1199,"Business operations specialists, all other",,        916290
13-2011,Accountants and auditors,,       1051220
13-2021,Appraisers and assessors of real estate,,         63800
13-2031,Budget analysts,,         53510
13-2041,Credit analysts,,         61500
13-2051,Financial analysts,,        180910
13-2052,Personal financial advisors,,        108640
13-2053,Insurance underwriters,,         98970
13-2061,Financial examiners,,         22160
13-2071,Loan counselors,,         28030
13-2072,Loan officers,,        332690
13-2081,"Tax examiners, collectors, and revenue agents",,         72290
13-2082,Tax preparers,,         58850
13-2099,"Financial specialists, all other",,        122320
15-0000,Computer and mathematical occupations,major,       2952740
15-1011,"Computer and information scientists, research",,         25890
15-1021,Computer programmers,,        389090
15-1031,"Computer software engineers, applications",,        455980
15-1032,"Computer software engineers, systems software",,        320720
15-1041,Computer support specialists,,        499860
15-1051,Computer systems analysts,,        492120
15-1061,Database administrators,,         99380
15-1071,Network and computer systems administrators,,        270330
15-1081,Network systems and data communications analysts,,        185190
15-1099,"Computer specialists, all other",,        116760
15-2011,Actuaries,,         15770
15-2021,Mathematicians,,          2930
15-2031,Operations research analysts,,         52530
15-2041,Statisticians,,         17480
15-2091,Mathematical technicians,,          1430
15-2099,"Mathematical scientists, all other",,          7320
17-0000,Architecture and engineering occupations,major,       2382480
17-1011,"Architects, except landscape and naval",,         96740
17-1012,Landscape architects,,         20220
17-1021,Cartographers and photogrammetrists,,         11260
17-1022,Surveyors,,         54220
17-2011,Aerospace engineers,,         81100
17-2021,Agricultural engineers,,          3170
17-2031,Biomedical engineers,,         11660
17-2041,Chemical engineers,,         27550
17-2051,Civil engineers,,        229700
17-2061,Computer hardware engineers,,         78580
17-2071,Electrical engineers,,        144920
17-2072,"Electronics engineers, except computer",,        130050
17-2081,Environmental engineers,,         50140
17-2111,"Health and safety engineers, except mining safety engineers and inspectors",,         25330
17-2112,Industrial engineers,,        191640
17-2121,Marine engineers and naval architects,,          6550
17-2131,Materials engineers,,         20950
17-2141,Mechanical engineers,,        220750
17-2151,"Mining and geological engineers, including mining safety engineers",,          5680
17-2161,Nuclear engineers,,         14290
17-2171,Petroleum engineers,,         14860
17-2199,"Engineers, all other",,        152940
17-3011,Architectural and civil drafters,,        101040
17-3012,Electrical and electronics drafters,,         30270
17-3013,Mechanical drafters,,         74650
17-3019,"Drafters, all other",,         20870
17-3021,Aerospace engineering and operations technicians,,          9950
17-3022,Civil engineering technicians,,         90390
17-3023,Electrical and electronic engineering technicians,,        165850
17-3024,Electro-mechanical technicians,,         15130
17-3025,Environmental engineering technicians,,         19900
17-3026,Industrial engineering technicians,,         73310
17-3027,Mechanical engineering technicians,,         46580
17-3029,"Engineering technicians, except drafters, all other",,         78300
17-3031,Surveying and mapping technicians,,         63910
19-0000,"Life, physical, and social science occupations",major,       1185730
19-1011,Animal scientists,,          3000
19-1012,Food scientists and technologists,,          7570
19-1013,Soil and plant scientists,,         10100
19-1021,Biochemists and biophysicists,,         17690
19-1022,Microbiologists,,         15250
19-1023,Zoologists and wildlife biologists,,         16440
19-1029,"Biological scientists, all other",,         26200
19-1031,Conservation scientists,,         15540
19-1032,Foresters,,         10750
19-1041,Epidemiologists,,          3630
19-1042,"Medical scientists, except epidemiologists",,         73670
19-1099,"Life scientists, all other",,         12790
19-2011,Astronomers,,           970
19-2012,Physicists,,         15160
19-2021,Atmospheric and space scientists,,          7050
19-2031,Chemists,,         76540
19-2032,Materials scientists,,          7880
19-2041,"Environmental scientists and specialists, including health",,         72000
19-2042,"Geoscientists, except hydrologists and geographers",,         27430
19-2043,Hydrologists,,          8360
19-2099,"Physical scientists, all other",,         23800
19-3011,Economists,,         12470
19-3021,Market research analysts,,        195710
19-3022,Survey researchers,,         21650
19-3031,"Clinical, counseling, and school psychologists",,         98820
19-3032,Industrial-organizational psychologists,,          1070
19-3039,"Psychologists, all other",,          6750
19-3041,Sociologists,,          3500
19-3051,Urban and regional planners,,         31650
19-3091,Anthropologists and archeologists,,          4790
19-3092,Geographers,,           810
19-3093,Historians,,          2850
19-3094,Political scientists,,          5010
19-3099,"Social scientists and related workers, all other",,         31900
19-4011,Agricultural and food science technicians,,         19340
19-4021,Biological technicians,,         67080
19-4031,Chemical technicians,,         59790
19-4041,Geological and petroleum technicians,,         11130
19-4051,Nuclear technicians,,          6050
19-4061,Social science research assistants,,         16320
19-4091,"Environmental science and protection technicians, including health",,         32460
19-4092,Forensic science technicians,,         11030
19-4093,Forest and conservation technicians,,         29940
19-4099,"Life, physical, and social science technicians, all other",,         63810
21-0000,Community and social services occupations,major,       1692950
21-1011,Substance abuse and behavioral disorder counselors,,         72210
21-1012,"Educational, vocational, and school counselors",,        214160
21-1013,Marriage and family therapists,,         18500
21-1014,Mental health counselors,,         87220
21-1015,Rehabilitation counselors,,        117230
21-1019,"Counselors, all other",,         21390
21-1021,"Child, family, and school social workers",,        256430
21-1022,Medical and public health social workers,,        112220
21-1023,Mental health and substance abuse social workers,,        120140
21-1029,"Social workers, all other",,         60940
21-1091,Health educators,,         51970
21-1092,Probation officers and correctional treatment specialists,,         90600
21-1093,Social and human service assistants,,        313210
21-1099,"Community and social service specialists, all other",,         99860
21-2011,Clergy,,         36590
21-2021,"Directors, religious activities and education",,         13610
21-2099,"Religious workers, all other",,          6670
23-0000,Legal occupations,major,        986740
23-1011,Lawyers,,        529190
23-1021,"Administrative law judges, adjudicators, and hearing officers",,         15350
23-1022,"Arbitrators, mediators, and conciliators",,          5780
23-1023,"Judges, magistrate judges, and magistrates",,         25330
23-2011,Paralegals and legal assistants,,        217700
23-2091,Court reporters,,         17130
23-2092,Law clerks,,         40620
23-2093,"Title examiners, abstractors, and searchers",,         64580
23-2099,"Legal support workers, all other",,         71060
25-0000,"Education, training, and library occupations",major,       8078500
25-1011,"Business teachers, postsecondary",,         67420
25-1021,"Computer science teachers, postsecondary",,         38520
25-1022,"Mathematical science teachers, postsecondary",,         44660
25-1031,"Architecture teachers, postsecondary",,          6110
25-1032,"Engineering teachers, postsecondary",,         34500
25-1041,"Agricultural sciences teachers, postsecondary",,         11460
25-1042,"Biological science teachers, postsecondary",,         59540
25-1043,"Forestry and conservation science teachers, postsecondary",,          2990
25-1051,"Atmospheric, earth, marine, and space sciences teachers, postsecondary",,          8810
25-1052,"Chemistry teachers, postsecondary",,         19520
25-1053,"Environmental science teachers, postsecondary",,          4340
25-1054,"Physics teachers, postsecondary",,         13310
25-1061,"Anthropology and archeology teachers, postsecondary",,          5320
25-1062,"Area, ethnic, and cultural studies teachers, postsecondary",,          7970
25-1063,"Economics teachers, postsecondary",,         12670
25-1064,"Geography teachers, postsecondary",,          4250
25-1065,"Political science teachers, postsecondary",,         13710
25-1066,"Psychology teachers, postsecondary",,         30240
25-1067,"Sociology teachers, postsecondary",,         14980
25-1069,"Social sciences teachers, postsecondary, all other",,          6330
25-1071,"Health specialties teachers, postsecondary",,        108680
25-1072,"Nursing instructors and teachers, postsecondary",,         37020
25-1081,"Education teachers, postsecondary",,         51320
25-1082,"Library science teachers, postsecondary",,          3960
25-1111,"Criminal justice and law enforcement teachers, postsecondary",,          9880
25-1112,"Law teachers, postsecondary",,         13560
25-1113,"Social work teachers, postsecondary",,          7440
25-1121,"Art, drama, and music teachers, postsecondary",,         69260
25-1122,"Communications teachers, postsecondary",,         22320
25-1123,"English language and literature teachers, postsecondary",,         58710
25-1124,"Foreign language and literature teachers, postsecondary",,         23830
25-1125,"History teachers, postsecondary",,         20520
25-1126,"Philosophy and religion teachers, postsecondary",,         18340
25-1191,Graduate teaching assistants,,        117970
25-1192,"Home economics teachers, postsecondary",,          4010
25-1193,"Recreation and fitness studies teachers, postsecondary",,         16530
25-1194,"Vocational education teachers, postsecondary",,        105980
25-1199,"Postsecondary teachers, all other",,        267280
25-2011,"Preschool teachers, except special education",,        348690
25-2012,"Kindergarten teachers, except special education",,        171290
25-2021,"Elementary school teachers, except special education",,       1486650
25-2022,"Middle school teachers, except special and vocational education",,        637340
25-2023,"Vocational education teachers, middle school",,         15380
25-2031,"Secondary school teachers, except special and vocational education",,       1015740
25-2032,"Vocational education teachers, secondary school",,         96600
25-2041,"Special education teachers, preschool, kindergarten, and elementary school",,        214060
25-2042,"Special education teachers, middle school",,        103480
25-2043,"Special education teachers, secondary school",,        136290
25-3011,"Adult literacy, remedial education, and GED teachers and instructors",,         66070
25-3021,Self-enrichment education teachers,,        141650
25-3099,"Teachers and instructors, all other",,        530670
25-4011,Archivists,,          5410
25-4012,Curators,,          8790
25-4013,Museum technicians and conservators,,          9370
25-4021,Librarians,,        146740
25-4031,Library technicians,,        115770
25-9011,Audio-visual collections specialists,,          6910
25-9021,Farm and home management advisors,,         12620
25-9031,Instructional coordinators,,        112880
25-9041,Teacher assistants,,       1260400
25-9099,"Education, training, and library workers, all other",,         72450
27-0000,"Arts, design, entertainment, sports, and media occupations",major,       1683310
27-1011,Art directors,,         29350
27-1012,Craft artists,,          4300
27-1013,"Fine artists, including painters, sculptors, and illustrators",,         10390
27-1014,Multi-media artists and animators,,         23790
27-1019,"Artists and related workers, all other",,          5290
27-1021,Commercial and industrial designers,,         31650
27-1022,Fashion designers,,         12980
27-1023,Floral designers,,         63920
27-1024,Graphic designers,,        178530
27-1025,Interior designers,,         50020
27-1026,Merchandise displayers and window trimmers,,         64320
27-1027,Set and exhibit designers,,          8380
27-1029,"Designers, all other",,         12410
27-2011,Actors,,         59590
27-2012,Producers and directors,,         59070
27-2021,Athletes and sports competitors,,         12230
27-2022,Coaches and scouts,,        145440
27-2023,"Umpires, referees, and other sports officials",,         12800
27-2031,Dancers,,         16240
27-2032,Choreographers,,         16150
27-2041,Music directors and composers,,          8610
27-2042,Musicians and singers,,         50410
27-2099,"Entertainers and performers, sports and related workers, all other",,         68540
27-3011,Radio and television announcers,,         41090
27-3012,Public address system and other announcers,,          8150
27-3021,Broadcast news analysts,,          6680
27-3022,Reporters and correspondents,,         52920
27-3031,Public relations specialists,,        191430
27-3041,Editors,,         96270
27-3042,Technical writers,,         46250
27-3043,Writers and authors,,         43020
27-3091,Interpreters and translators,,         29240
27-3099,"Media and communication workers, all other",,         25660
27-4011,Audio and video equipment technicians,,         40390
27-4012,Broadcast technicians,,         30730
27-4013,Radio operators,,          1190
27-4014,Sound engineering technicians,,         12680
27-4021,Photographers,,         58260
27-4031,"Camera operators, television, video, and motion picture",,         22530
27-4032,Film and video editors,,         15200
27-4099,"Media and communication equipment workers, all other",,         17200
29-0000,Healthcare practitioners and technical occupations,major,       6547350
29-1011,Chiropractors,,         24290
29-1021,"Dentists, general",,         86270
29-1022,Oral and maxillofacial surgeons,,          5120
29-1023,Orthodontists,,          4820
29-1024,Prosthodontists,,           560
29-1029,"Dentists, all other specialists",,          3480
29-1031,Dietitians and nutritionists,,         48850
29-1041,Optometrists,,         23720
29-1051,Pharmacists,,        229740
29-1061,Anesthesiologists,,         27970
29-1062,Family and general practitioners,,        112150
29-1063,"Internists, general",,         48210
29-1064,Obstetricians and gynecologists,,         21910
29-1065,"Pediatricians, general",,         26400
29-1066,Psychiatrists,,         23450
29-1067,Surgeons,,         52930
29-1069,"Physicians and surgeons, all other",,        180210
29-1071,Physician assistants,,         63350
29-1081,Podiatrists,,          8290
29-1111,Registered nurses,,       2368070
29-1121,Audiologists,,         10330
