OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP
13-1079,"Human resources, training, and labor relations specialists, all other",,211770
13-1081,Logisticians,,90340
13-1111,Management analysts,,499640
13-1121,Meeting and convention planners,,45490
13-1199,"Business operations specialists, all other",,1017640
13-2011,Accountants and auditors,,1115010
13-2021,Appraisers and assessors of real estate,,66210
13-2031,Budget analysts,,62400
13-2041,Credit analysts,,70890
13-2051,Financial analysts,,228300
13-2052,Personal financial advisors,,132460
13-2053,Insurance underwriters,,98920
13-2061,Financial examiners,,25510
13-2071,Loan counselors,,30150
13-2072,Loan officers,,356990
13-2081,"Tax examiners, collectors, and revenue agents",,65750
13-2082,Tax preparers,,61890
13-2099,"Financial specialists, all other",,136570
15-0000,Computer and mathematical occupations,major,3191360
15-1011,"Computer and information scientists, research",,28720
15-1021,Computer programmers,,394710
15-1031,"Computer software engineers, applications",,495810
15-1032,"Computer software engineers, systems software",,349140
15-1041,Computer support specialists,,525570
15-1051,Computer systems analysts,,464440
15-1061,Database administrators,,116340
15-1071,Network and computer systems administrators,,309660
15-1081,Network systems and data communications analysts,,216050
15-1099,"Computer specialists, all other",,182690
15-2011,Actuaries,,18030
15-2021,Mathematicians,,3160
15-2031,Operations research analysts,,58750
15-2041,Statisticians,,20270
15-2091,Mathematical technicians,,1080
15-2099,"Mathematical scientists, all other",,6930
17-0000,Architecture and engineering occupations,major,2486020
17-1011,"Architects, except landscape and naval",,106830
17-1012,Landscape architects,,21890
17-1021,Cartographers and photogrammetrists,,11460
17-1022,Surveyors,,56670
17-2011,Aerospace engineers,,85510
17-2021,Agricultural engineers,,2480
17-2031,Biomedical engineers,,15400
17-2041,Chemical engineers,,28780
17-2051,Civil engineers,,247370
17-2061,Computer hardware engineers,,79330
17-2071,Electrical engineers,,148800
17-2072,"Electronics engineers, except computer",,133870
17-2081,Environmental engineers,,51210
17-2111,"Health and safety engineers, except mining safety engineers and inspectors",,24770
17-2112,Industrial engineers,,204210
17-2121,Marine engineers and naval architects,,6620
17-2131,Materials engineers,,21910
17-2141,Mechanical engineers,,222330
17-2151,"Mining and geological engineers, including mining safety engineers",,7150
17-2161,Nuclear engineers,,14300
17-2171,Petroleum engineers,,16060
17-2199,"Engineers, all other",,169950
17-3011,Architectural and civil drafters,,111460
17-3012,Electrical and electronics drafters,,32350
17-3013,Mechanical drafters,,74260
17-3019,"Drafters, all other",,23280
17-3021,Aerospace engineering and operations technicians,,7870
17-3022,Civil engineering technicians,,88030
17-3023,Electrical and electronic engineering technicians,,162460
17-3024,Electro-mechanical technicians,,15730
17-3025,Environmental engineering technicians,,21970
17-3026,Industrial engineering technicians,,74930
17-3027,Mechanical engineering technicians,,46230
17-3029,"Engineering technicians, except drafters, all other",,78140
17-3031,Surveying and mapping technicians,,72410
19-0000,"Life, physical, and social science occupations",major,1255670
19-1011,Animal scientists,,4210
19-1012,Food scientists and technologists,,9910
19-1013,Soil and plant scientists,,10270
19-1021,Biochemists and biophysicists,,19490
19-1022,Microbiologists,,14610
19-1023,Zoologists and wildlife biologists,,17830
19-1029,"Biological scientists, all other",,27070
19-1031,Conservation scientists,,16570
19-1032,Foresters,,10510
19-1041,Epidemiologists,,3960
19-1042,"Medical scientists, except epidemiologists",,87440
19-1099,"Life scientists, all other",,12470
19-2011,Astronomers,,1520
19-2012,Physicists,,13980
19-2021,Atmospheric and space scientists,,8750
19-2031,Chemists,,79860
19-2032,Materials scientists,,9740
19-2041,"Environmental scientists and specialists, including health",,80070
19-2042,"Geoscientists, except hydrologists and geographers",,31390
19-2043,Hydrologists,,7670
19-2099,"Physical scientists, all other",,23300
19-3011,Economists,,12740
19-3021,Market research analysts,,220740
19-3022,Survey researchers,,22140
19-3031,"Clinical, counseling, and school psychologists",,95120
19-3032,Industrial-organizational psychologists,,1240
19-3039,"Psychologists, all other",,9470
19-3041,Sociologists,,3680
19-3051,Urban and regional planners,,35040
19-3091,Anthropologists and archeologists,,5250
19-3092,Geographers,,1010
19-3093,Historians,,3600
19-3094,Political scientists,,3940
19-3099,"Social scientists and related workers, all other",,30410
19-4011,Agricultural and food science technicians,,19280
19-4021,Biological technicians,,69110
19-4031,Chemical technicians,,64450
19-4041,Geological and petroleum technicians,,13060
19-4051,Nuclear technicians,,5920
19-4061,Social science research assistants,,16070
19-4091,"Environmental science and protection technicians, including health",,33950
19-4092,Forensic science technicians,,12030
19-4093,Forest and conservation technicians,,26900
19-4099,"Life, physical, and social science technicians, all other",,59910
21-0000,Community and social services occupations,major,1793040
21-1011,Substance abuse and behavioral disorder counselors,,76830
21-1012,"Educational, vocational, and school counselors",,232260
21-1013,Marriage and family therapists,,23340
21-1014,Mental health counselors,,95970
21-1015,Rehabilitation counselors,,123890
21-1019,"Counselors, all other",,28900
21-1021,"Child, family, and school social workers",,265090
21-1022,Medical and public health social workers,,120060
21-1023,Mental health and substance abuse social workers,,118690
21-1029,"Social workers, all other",,64990
21-1091,Health educators,,61290
21-1092,Probation officers and correctional treatment specialists,,94120
21-1093,Social and human service assistants,,316380
21-1099,"Community and social service specialists, all other",,109970
21-2011,Clergy,,40960
21-2021,"Directors, religious activities and education",,14780
21-2099,"Religious workers, all other",,5520
23-0000,Legal occupations,major,998590
23-1011,Lawyers,,555770
23-1021,"Administrative law judges, adjudicators, and hearing officers",,14100
23-1022,"Arbitrators, mediators, and conciliators",,8810
23-1023,"Judges, magistrate judges, and magistrates",,25500
23-2011,Paralegals and legal assistants,,241270
23-2091,Court reporters,,20120
23-2092,Law clerks,,31160
23-2093,"Title examiners, abstractors, and searchers",,62200
23-2099,"Legal support workers, all other",,39670
25-0000,"Education, training, and library occupations",major,8316360
25-1011,"Business teachers, postsecondary",,67700
25-1021,"Computer science teachers, postsecondary",,33840
25-1022,"Mathematical science teachers, postsecondary",,44560
25-1031,"Architecture teachers, postsecondary",,6070
25-1032,"Engineering teachers, postsecondary",,32360
25-1041,"Agricultural sciences teachers, postsecondary",,10700
25-1042,"Biological science teachers, postsecondary",,52560
25-1043,"Forestry and conservation science teachers, postsecondary",,2640
25-1051,"Atmospheric, earth, marine, and space sciences teachers, postsecondary",,9030
25-1052,"Chemistry teachers, postsecondary",,19800
25-1053,"Environmental science teachers, postsecondary",,4470
25-1054,"Physics teachers, postsecondary",,12530
25-1061,"Anthropology and archeology teachers, postsecondary",,5290
25-1062,"Area, ethnic, and cultural studies teachers, postsecondary",,7280
25-1063,"Economics teachers, postsecondary",,12840
25-1064,"Geography teachers, postsecondary",,4050
25-1065,"Political science teachers, postsecondary",,14160
25-1066,"Psychology teachers, postsecondary",,30590
25-1067,"Sociology teachers, postsecondary",,16130
25-1069,"Social sciences teachers, postsecondary, all other",,5460
25-1071,"Health specialties teachers, postsecondary",,114070
25-1072,"Nursing instructors and teachers, postsecondary",,42660
25-1081,"Education teachers, postsecondary",,54420
25-1082,"Library science teachers, postsecondary",,4080
25-1111,"Criminal justice and law enforcement teachers, postsecondary",,11110
25-1112,"Law teachers, postsecondary",,12610
25-1113,"Social work teachers, postsecondary",,7510
25-1121,"Art, drama, and music teachers, postsecondary",,73890
25-1122,"Communications teachers, postsecondary",,23690
25-1123,"English language and literature teachers, postsecondary",,60910
25-1124,"Foreign language and literature teachers, postsecondary",,25100
25-1125,"History teachers, postsecondary",,20760
25-1126,"Philosophy and religion teachers, postsecondary",,18140
25-1191,Graduate teaching assistants,,119790
25-1192,"Home economics teachers, postsecondary",,4770
25-1193,"Recreation and fitness studies teachers, postsecondary",,17500
25-1194,"Vocational education teachers, postsecondary",,112300
25-1199,"Postsecondary teachers, all other",,265500
25-2011,"Preschool teachers, except special education",,380930
25-2012,"Kindergarten teachers, except special education",,170880
25-2021,"Elementary school teachers, except special education",,1538030
25-2022,"Middle school teachers, except special and vocational education",,652560
25-2023,"Vocational education teachers, middle school",,15260
25-2031,"Secondary school teachers, except special and vocational education",,1058870
25-2032,"Vocational education teachers, secondary school",,97550
25-2041,"Special education teachers, preschool, kindergarten, and elementary school",,219930
25-2042,"Special education teachers, middle school",,100160
25-2043,"Special education teachers, secondary school",,141330
25-3011,"Adult literacy, remedial education, and GED teachers and instructors",,72240
25-3021,Self-enrichment education teachers,,156960
25-3099,"Teachers and instructors, all other",,555460
25-4011,Archivists,,5420
25-4012,Curators,,10120
25-4013,Museum technicians and conservators,,9950
25-4021,Librarians,,148800
25-4031,Library technicians,,114150
25-9011,Audio-visual collections specialists,,6530
25-9021,Farm and home management advisors,,12050
25-9031,Instructional coordinators,,117940
25-9041,Teacher assistants,,1251610
25-9099,"Education, training, and library workers, all other",,98790
27-0000,"Arts, design, entertainment, sports, and media occupations",major,1761270
27-1011,Art directors,,32290
27-1012,Craft artists,,5390
27-1013,"Fine artists, including painters, sculptors, and illustrators",,10500
27-1014,Multi-media artists and animators,,29440
27-1019,"Artists and related workers, all other",,7910
27-1021,Commercial and industrial designers,,34800
27-1022,Fashion designers,,16460
27-1023,Floral designers,,59530
27-1024,Graphic designers,,201080
27-1025,Interior designers,,52620
27-1026,Merchandise displayers and window trimmers,,68660
27-1027,Set and exhibit designers,,8620
27-1029,"Designers, all other",,11890
27-2011,Actors,,44860
27-2012,Producers and directors,,72390
27-2021,Athletes and sports competitors,,12670
27-2022,Coaches and scouts,,165410
27-2023,"Umpires, referees, and other sports officials",,13630
27-2031,Dancers,,12530
27-2032,Choreographers,,15250
27-2041,Music directors and composers,,9110
27-2042,Musicians and singers,,47520
27-2099,"Entertainers and performers, sports and related workers, all other",,32040
27-3011,Radio and television announcers,,39500
27-3012,Public address system and other announcers,,8490
27-3021,Broadcast news analysts,,6550
27-3022,Reporters and correspondents,,51620
27-3031,Public relations specialists,,225880
27-3041,Editors,,105920
27-3042,Technical writers,,46740
27-3043,Writers and authors,,44310
27-3091,Interpreters and translators,,33680
27-3099,"Media and communication workers, all other",,24420
27-4011,Audio and video equipment technicians,,40360
27-4012,Broadcast technicians,,34250
27-4013,Radio operators,,1110
27-4014,Sound engineering technicians,,15490
27-4021,Photographers,,62370
27-4031,"Camera operators, television, video, and motion picture",,19990
27-4032,Film and video editors,,17410
27-4099,"Media and communication equipment workers, all other",,18580
29-0000,Healthcare practitioners and technical occupations,major,6877680
29-1011,Chiropractors,,27190
29-1021,"Dentists, general",,85260
29-1022,Oral and maxillofacial surgeons,,5040
29-1023,Orthodontists,,5350
29-1024,Prosthodontists,,380
29-1029,"Dentists, all other specialists",,4490
29-1031,Dietitians and nutritionists,,52800
29-1041,Optometrists,,24900
29-1051,Pharmacists,,253110
29-1061,Anesthesiologists,,31030
29-1062,Family and general practitioners,,113250
29-1063,"Internists, general",,46260
29-1064,Obstetricians and gynecologists,,21340
29-1065,"Pediatricians, general",,28890
29-1066,Psychiatrists,,21790
29-1067,Surgeons,,50260
29-1069,"Physicians and surgeons, all other",,237400
29-1071,Physician assistants,,67160
29-1081,Podiatrists,,9320
29-1111,Registered nurses,,2468340
29-1121,Audiologists,,11360
29-1122,Occupational therapists,,91920
29-1123,Physical therapists,,161850
29-1124,Radiation therapists,,14620
29-1125,Recreational therapists,,23240
29-1126,Respiratory therapists,,101180
29-1127,Speech-language pathologists,,103810
29-1129,"Therapists, all other",,11580
29-1131,Veterinarians,,50790
29-1199,"Health diagnosing and treating practitioners, all other",,44350
29-2011,Medical and clinical laboratory technologists,,163270
29-2012,Medical and clinical laboratory technicians,,145890
29-2021,Dental hygienists,,168600
29-2031,Cardiovascular technologists and technicians,,46980
29-2032,Diagnostic medical sonographers,,46770
29-2033,Nuclear medicine technologists,,20410
29-2034,Radiologic technologists and technicians,,200370
29-2041,Emergency medical technicians and paramedics,,201200
29-2051,Dietetic technicians,,24540
29-2052,Pharmacy technicians,,301950
29-2053,Psychiatric technicians,,60690
29-2054,Respiratory therapy technicians,,17610
29-2055,Surgical technologists,,86000
29-2056,Veterinary technologists and technicians,,73240
29-2061,Licensed practical and licensed vocational nurses,,719240
29-2071,Medical records and health information technicians,,165590
29-2081,"Opticians, dispensing",,62420
29-2091,Orthotists and prosthetists,,5600
29-2099,"Health technologists and technicians, all other",,73730
29-9011,Occupational health and safety specialists,,46460
29-9012,Occupational health and safety technicians,,10260
29-9091,Athletic trainers,,14970
29-9099,"Healthcare practitioners and technical workers, all other",,53640
31-0000,Healthcare support occupations,major,3625240
31-1011,Home health aides,,834580
31-1012,"Nursing aides, orderlies, and attendants",,1390260
31-1013,Psychiatric aides,,58310
31-2011,Occupational therapist assistants,,25130
31-2012,Occupational therapist aides,,7640
31-2021,Physical therapist assistants,,59120
31-2022,Physical therapist aides,,43350
31-9011,Massage therapists,,45920
31-9091,Dental assistants,,283680
31-9092,Medical assistants,,434540
31-9093,Medical equipment preparers,,43790
31-9094,Medical transcriptionists,,86990
31-9095,Pharmacy aides,,49630
31-9096,Veterinary assistants and laboratory animal caretakers,,71190
31-9099,"Healthcare support workers, all other",,191110
33-0000,Protective service occupations,major,3087650
33-1011,First-line supervisors/managers of correctional officers,,41000
33-1012,First-line supervisors/managers of police and detectives,,91510
33-1021,First-line supervisors/managers of fire fighting and prevention workers,,52160
33-1099,"First-line supervisors/managers, protective service workers, all other",,45750
33-2011,Fire fighters,,289710
33-2021,Fire inspectors and investigators,,12980
33-2022,Forest fire inspectors and prevention specialists,,1600
33-3011,Bailiffs,,18830
33-3012,Correctional officers and jailers,,431980
33-3021,Detectives and criminal investigators,,103320
33-3031,Fish and game wardens,,7500
33-3041,Parking enforcement workers,,9910
33-3051,Police and sheriff's patrol officers,,625880
33-3052,Transit and railroad police,,5530
33-9011,Animal control workers,,14890
33-9021,Private detectives and investigators,,37410
33-9031,Gaming surveillance officers and gaming investigators,,9030
33-9032,Security guards,,1032260
33-9091,Crossing guards,,67570
33-9092,"Lifeguards, ski patrol, and other recreational protective service workers",,107420
33-9099,"Protective service workers, all other",,81410
35-0000,Food preparation and serving related occupations,major,11273850
35-1011,Chefs and head cooks,,100130
35-1012,First-line supervisors/managers of food preparation and serving workers,,788750
35-2011,"Cooks, fast food",,575510
35-2012,"Cooks, institution and cafeteria",,372450
35-2013,"Cooks, private household",,950
35-2014,"Cooks, restaurant",,878990
35-2015,"Cooks, short order",,177450
35-2019,"Cooks, all other",,15440
35-2021,Food preparation workers,,873470
35-3011,Bartenders,,498090
35-3021,"Combined food preparation and serving workers, including fast food",,2602950
35-3022,"Counter attendants, cafeteria, food concession, and coffee shop",,541370
35-3031,Waiters and waitresses,,2357040
35-3041,"Food servers, nonrestaurant",,185530
35-9011,Dining room and cafeteria attendants and bartender helpers,,401070
35-9021,Dishwashers,,509550
35-9031,"Hosts and hostesses, restaurant, lounge, and coffee shop",,342960
35-9099,"Food preparation and serving related workers, all other",,52160
37-0000,Building and grounds cleaning and maintenance occupations,major,4403900
37-1011,First-line supervisors/managers of housekeeping and janitorial workers,,179850
37-1012,"First-line supervisors/managers of landscaping, lawn service, and groundskeeping workers",,110340
37-2011,"Janitors and cleaners, except maids and housekeeping cleaners",,2112870
37-2012,Maids and housekeeping cleaners,,915890
37-2019,"Building cleaning workers, all other",,14320
37-2021,Pest control workers,,63440
37-3011,Landscaping and groundskeeping workers,,932730
37-3012,"Pesticide handlers, sprayers, and applicators, vegetation",,25560
37-3013,Tree trimmers and pruners,,30670
37-3019,"Grounds maintenance workers, all other",,18230
39-0000,Personal care and service occupations,major,3339510
39-1011,Gaming supervisors,,25800
39-1012,Slot key persons,,13680
39-1021,First-line supervisors/managers of personal service workers,,126870
39-2011,Animal trainers,,9110
39-2021,Nonfarm animal caretakers,,118760
39-3011,Gaming dealers,,86210
39-3012,Gaming and sports book writers and runners,,17370
39-3019,"Gaming service workers, all other",,14270
39-3021,Motion picture projectionists,,10840
39-3031,"Ushers, lobby attendants, and ticket takers",,106700
39-3091,Amusement and recreation attendants,,245380
39-3092,Costume attendants,,4570
39-3093,"Locker room, coatroom, and dressing room attendants",,17830
39-3099,"Entertainment attendants and related workers, all other",,42020
39-4011,Embalmers,,8930
39-4021,Funeral attendants,,33100
39-5011,Barbers,,12110
39-5012,"Hairdressers, hairstylists, and cosmetologists",,343320
39-5091,"Makeup artists, theatrical and performance",,1400
39-5092,Manicurists and pedicurists,,52730
39-5093,Shampooers,,15310
39-5094,Skin care specialists,,24960
39-6011,Baggage porters and bellhops,,49700
39-6012,Concierges,,19770
39-6021,Tour guides and escorts,,31620
39-6022,Travel guides,,3520
39-6031,Flight attendants,,97010
39-6032,"Transportation attendants, except flight attendants and baggage porters",,20690
39-9011,Child care workers,,576680
39-9021,Personal and home care aides,,595350
39-9031,Fitness trainers and aerobics instructors,,219990
39-9032,Recreation workers,,278070
39-9041,Residential advisors,,51630
39-9099,"Personal care and service workers, all other",,64210
41-0000,Sales and related occupations,major,14332020
41-1011,First-line supervisors/managers of retail sales workers,,1156540
41-1012,First-line supervisors/managers of non-retail sales workers,,280770
41-2011,Cashiers,,3545330
41-2012,Gaming change persons and booth cashiers,,24640
41-2021,Counter and rental clerks,,462040
41-2022,Parts salespersons,,230480
41-2031,Retail salespersons,,4429060
41-3011,Advertising sales agents,,161440
41-3021,Insurance sales agents,,321920
41-3031,"Securities, commodities, and financial services sales agents",,268480
41-3041,Travel agents,,85580
41-3099,"Sales representatives, services, all other",,556430
41-4011,"Sales representatives, wholesale and manufacturing, technical and scientific products",,403320
41-4012,"Sales representatives, wholesale and manufacturing, except technical and scientific products",,1505930
41-9011,Demonstrators and product promoters,,83270
41-9012,Models,,2060
41-9021,Real estate brokers,,49270
41-9022,Real estate sales agents,,172030
41-9031,Sales engineers,,75940
41-9041,Telemarketers,,354000
41-9091,"Door-to-door sales workers, news and street vendors, and related workers",,11600
41-9099,"Sales and related workers, all other",,151890
43-0000,Office and administrative support occupations,major,23270810
43-1011,First-line supervisors/managers of office and administrative support workers,,1378240
43-2011,"Switchboard operators, including answering service",,160200
43-2021,Telephone operators,,23840
43-2099,"Communications equipment operators, all other",,3830
43-3011,Bill and account collectors,,409570
43-3021,Billing and posting clerks and machine operators,,515060
43-3031,"Bookkeeping, accounting, and auditing clerks",,1858500
43-3041,Gaming cage workers,,17120
43-3051,Payroll and timekeeping clerks,,201940
43-3061,Procurement clerks,,77180
43-3071,Tellers,,607960
43-4011,Brokerage clerks,,71170
43-4021,Correspondence clerks,,15550
43-4031,"Court, municipal, and license clerks",,109080
43-4041,"Credit authorizers, checkers, and clerks",,67480
43-4051,Customer service representatives,,2193430
43-4061,"Eligibility interviewers, government programs",,107220
43-4071,File clerks,,214590
43-4081,"Hotel, motel, and resort desk clerks",,223210
43-4111,"Interviewers, except eligibility and loan",,227220
43-4121,"Library assistants, clerical",,112300
43-4131,Loan interviewers and clerks,,239810
43-4141,New accounts clerks,,88880
43-4151,Order clerks,,255670
43-4161,"Human resources assistants, except payroll and timekeeping",,161970
43-4171,Receptionists and information clerks,,1100790
43-4181,Reservation and transportation ticket agents and travel clerks,,167390
43-4199,All other information and record clerks,,233180
43-5011,Cargo and freight agents,,81380
43-5021,Couriers and messengers,,100820
43-5031,"Police, fire, and ambulance dispatchers",,93670
43-5032,"Dispatchers, except police, fire, and ambulance",,190190
43-5041,"Meter readers, utilities",,46220
43-5051,Postal service clerks,,79500
43-5052,Postal service mail carriers,,348070
43-5053,"Postal service mail sorters, processors, and processing machine operators",,201430
43-5061,"Production, planning, and expediting clerks",,283930
43-5071,"Shipping, receiving, and traffic clerks",,755790
43-5081,Stock clerks and order fillers,,1817650
43-5111,"Weighers, measurers, checkers, and samplers, recordkeeping",,76000
43-6011,Executive secretaries and administrative assistants,,1517410
43-6012,Legal secretaries,,266180
43-6013,Medical secretaries,,424670
43-6014,"Secretaries, except legal, medical, and executive",,1832490
43-9011,Computer operators,,117380
43-9021,Data entry keyers,,286540
43-9022,Word processors and typists,,139420
43-9031,Desktop publishers,,29320
43-9041,Insurance claims and policy processing clerks,,232700
43-9051,"Mail clerks and mail machine operators, except postal service",,138990
43-9061,"Office clerks, general",,2980350
43-9071,"Office machine operators, except computer",,87240
43-9081,Proofreaders and copy markers,,15650
43-9111,Statistical assistants,,19210
43-9199,"Office and administrative support workers, all other",,266220
45-0000,"Farming, fishing, and forestry occupations",major,448000
45-1011,"First-line supervisors/managers of farming, fishing, and forestry workers",,20860
45-1012,Farm labor contractors,,1450
45-2011,Agricultural inspectors,,14510
45-2021,Animal breeders,,2320
45-2041,"Graders and sorters, agricultural products",,40770
45-2091,Agricultural equipment operators,,22490
45-2092,"Farmworkers and laborers, crop, nursery, and greenhouse",,239380
45-2093,"Farmworkers, farm and ranch animals",,43120
45-2099,"Agricultural workers, all other",,7960
45-3011,Fishers and related fishing workers,,960
45-4011,Forest and conservation workers,,8770
45-4021,Fallers,,7500
45-4022,Logging equipment operators,,27700
45-4023,Log graders and scalers,,4430
45-4029,"Logging workers, all other",,5740
47-0000,Construction and extraction occupations,major,6708200
47-1011,First-line supervisors/managers of construction trades and extraction workers,,577130
47-2011,Boilermakers,,18650
47-2021,Brickmasons and blockmasons,,116290
47-2022,Stonemasons,,18760
47-2031,Carpenters,,969670
47-2041,Carpet installers,,34630
47-2042,"Floor layers, except carpet, wood, and hard tiles",,14070
47-2043,Floor sanders and finishers,,8220
47-2044,Tile and marble setters,,52790
47-2051,Cement masons and concrete finishers,,213850
47-2053,Terrazzo workers and finishers,,5920
47-2061,Construction laborers,,1053060
47-2071,"Paving, surfacing, and tamping equipment operators",,63850
47-2072,Pile-driver operators,,5050
47-2073,Operating engineers and other construction equipment operators,,403620
47-2081,Drywall and ceiling tile installers,,137570
47-2082,Tapers,,37280
47-2111,Electricians,,624560
47-2121,Glaziers,,50800
47-2131,"Insulation workers, floor, ceiling, and wall",,29660
47-2132,"Insulation workers, mechanical",,29110
47-2141,"Painters, construction and maintenance",,260260
47-2142,Paperhangers,,5970
47-2151,Pipelayers,,56890
47-2152,"Plumbers, pipefitters, and steamfitters",,435010
47-2161,Plasterers and stucco masons,,49310
47-2171,Reinforcing iron and rebar workers,,28270
47-2181,Roofers,,123180
47-2211,Sheet metal workers,,167730
47-2221,Structural iron and steel workers,,65100
47-3011,"Helpers--brickmasons, blockmasons, stonemasons, and tile and marble setters",,57870
47-3012,Helpers--carpenters,,96180
47-3013,Helpers--electricians,,101370
47-3014,"Helpers--painters, paperhangers, plasterers, and stucco masons",,22770
47-3015,"Helpers--pipelayers, plumbers, pipefitters, and steamfitters",,83380
47-3016,Helpers--roofers,,21250
47-3019,"Helpers, construction trades, all other",,33870
47-4011,Construction and building inspectors,,95890
47-4021,Elevator installers and repairers,,22950
47-4031,Fence erectors,,26650
47-4041,Hazardous materials removal workers,,39530
47-4051,Highway maintenance workers,,137140
47-4061,Rail-track laying and maintenance equipment operators,,14050
47-4071,Septic tank servicers and sewer pipe cleaners,,23440
47-4091,Segmental pavers,,1090
47-4099,"Construction and related workers, all other",,58040
47-5011,"Derrick operators, oil and gas",,19410
47-5012,"Rotary drill operators, oil and gas",,22600
47-5013,"Service unit operators, oil, gas, and mining",,30440
47-5021,"Earth drillers, except oil and gas",,19760
47-5031,"Explosives workers, ordnance handling experts, and blasters",,5750
47-5041,Continuous mining machine operators,,9830
47-5042,Mine cutting and channeling machine operators,,8460
47-5049,"Mining machine operators, all other",,4170
47-5051,"Rock splitters, quarry",,4100
47-5061,"Roof bolters, mining",,4130
47-5071,"Roustabouts, oil and gas",,54200
47-5081,Helpers--extraction workers,,24670
47-5099,"Extraction workers, all other",,8890
49-0000,"Installation, maintenance, and repair occupations",major,5390090
49-1011,"First-line supervisors/managers of mechanics, installers, and repairers",,443790
49-2011,"Computer, automated teller, and office machine repairers",,132750
49-2021,Radio mechanics,,5570
49-2022,"Telecommunications equipment installers and repairers, except line installers",,189290
49-2091,Avionics technicians,,16300
49-2092,"Electric motor, power tool, and related repairers",,22150
49-2093,"Electrical and electronics installers and repairers, transportation equipment",,18160
49-2094,"Electrical and electronics repairers, commercial and industrial equipment",,79150
49-2095,"Electrical and electronics repairers, powerhouse, substation, and relay",,23320
49-2096,"Electronic equipment installers and repairers, motor vehicles",,19310
49-2097,Electronic home entertainment equipment installers and repairers,,38170
49-2098,Security and fire alarm systems installers,,60700
49-3011,Aircraft mechanics and service technicians,,118780
49-3021,Automotive body and related repairers,,152790
49-3022,Automotive glass installers and repairers,,18340
49-3023,Automotive service technicians and mechanics,,650780
49-3031,Bus and truck mechanics and diesel engine specialists,,250370
49-3041,Farm equipment mechanics,,29660
49-3042,"Mobile heavy equipment mechanics, except engines",,124180
49-3043,Rail car repairers,,23190
49-3051,Motorboat mechanics,,19610
49-3052,Motorcycle mechanics,,16800
49-3053,Outdoor power equipment and other small engine mechanics,,27560
49-3091,Bicycle repairers,,9130
49-3092,Recreational vehicle service technicians,,14030
49-3093,Tire repairers and changers,,100510
49-9011,Mechanical door repairers,,18280
49-9012,"Control and valve installers and repairers, except mechanical door",,43160
49-9021,"Heating, air conditioning, and refrigeration mechanics and installers",,262570
49-9031,Home appliance repairers,,39130
49-9041,Industrial machinery mechanics,,266550
49-9042,"Maintenance and repair workers, general",,1308350
49-9043,"Maintenance workers, machinery",,78760
49-9044,Millwrights,,49360
49-9045,"Refractory materials repairers, except brickmasons",,2700
49-9051,Electrical power-line installers and repairers,,109990
49-9052,Telecommunications line installers and repairers,,160250
49-9061,Camera and photographic equipment repairers,,3870
49-9062,Medical equipment repairers,,34080
49-9063,Musical instrument repairers and tuners,,5410
49-9064,Watch repairers,,2840
49-9069,"Precision instrument and equipment repairers, all other",,13640
49-9091,"Coin, vending, and amusement machine servicers and repairers",,42150
49-9092,Commercial divers,,1980
49-9093,"Fabric menders, except garment",,990
49-9094,Locksmiths and safe repairers,,18750
49-9095,Manufactured building and mobile home installers,,9150
49-9096,Riggers,,12390
49-9097,Signal and track switch repairers,,6090
