OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP
00-0000,All Occupations,,134354250
11-0000,Management occupations,major,6003930
11-1011,Chief executives,,299160
11-1021,General and operations managers,,1655410
11-1031,Legislators,,61110
11-2011,Advertising and promotions managers,,36300
11-2021,Marketing managers,,165240
11-2022,Sales managers,,322170
11-2031,Public relations managers,,47210
11-3011,Administrative services managers,,239360
11-3021,Computer and information systems managers,,264990
11-3031,Financial managers,,484390
11-3041,Compensation and benefits managers,,41780
11-3042,Training and development managers,,28170
11-3049,"Human resources managers, all other",,58100
11-3051,Industrial production managers,,152870
11-3061,Purchasing managers,,65600
11-3071,"Transportation, storage, and distribution managers",,92790
11-9011,"Farm, ranch, and other agricultural managers",,3480
11-9012,Farmers and ranchers,,340
11-9021,Construction managers,,216120
11-9031,"Education administrators, preschool and child care center/program",,47980
11-9032,"Education administrators, elementary and secondary school",,218820
11-9033,"Education administrators, postsecondary",,101160
11-9039,"Education administrators, all other",,28640
11-9041,Engineering managers,,184410
11-9051,Food service managers,,191460
11-9061,Funeral directors,,24020
11-9071,Gaming managers,,3740
11-9081,Lodging managers,,31890
11-9111,Medical and health services managers,,242640
11-9121,Natural sciences managers,,39370
11-9131,Postmasters and mail superintendents,,26500
11-9141,"Property, real estate, and community association managers",,159660
11-9151,Social and community service managers,,112330
11-9199,"Managers, all other",,356690
13-0000,Business and financial operations occupations,major,6015500
13-1011,"Agents and business managers of artists, performers, and athletes",,11680
13-1021,"Purchasing agents and buyers, farm products",,12930
13-1022,"Wholesale and retail buyers, except farm products",,132550
13-1023,"Purchasing agents, except wholesale, retail, and farm products",,281950
13-1031,"Claims adjusters, examiners, and investigators",,279400
13-1032,"Insurance appraisers, auto damage",,12150
13-1041,"Compliance officers, except agriculture, construction, health and safety, and transportation",,231910
13-1051,Cost estimators,,219070
13-1061,Emergency management specialists,,11610
13-1071,"Employment, recruitment, and placement specialists",,193620
13-1072,"Compensation, benefits, and job analysis specialists",,109870
13-1073,Training and development specialists,,202820
