ID,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP
110,13-2040,Credit Analysts,broad,"74,820"
111,13-2041,Credit Analysts,detailed,"74,820"
112,13-2050,Financial Analysts and Advisors,broad,"602,500"
113,13-2051,Financial Analysts,detailed,"306,200"
114,13-2052,Personal Financial Advisors,detailed,"200,260"
115,13-2053,Insurance Underwriters,detailed,"96,040"
116,13-2060,Financial Examiners,broad,"58,590"
117,13-2061,Financial Examiners,detailed,"58,590"
118,13-2070,Credit Counselors and Loan Officers,broad,"340,690"
119,13-2071,Credit Counselors,detailed,"35,740"
120,13-2072,Loan Officers,detailed,"304,950"
121,13-2080,"Tax Examiners, Collectors and Preparers, and Revenue Agents",broad,"122,640"
122,13-2081,"Tax Examiners and Collectors, and Revenue Agents",detailed,"54,550"
123,13-2082,Tax Preparers,detailed,"68,090"
124,13-2090,Miscellaneous Financial Specialists,broad,"128,760"
125,13-2099,"Financial Specialists, All Other",detailed,"128,760"
126,15-0000,Computer and Mathematical Occupations,major,"4,384,300"
127,15-1100,Computer Occupations,minor,"4,214,820"
128,15-1110,Computer and Information Research Scientists,broad,"30,070"
129,15-1111,Computer and Information Research Scientists,detailed,"30,070"
130,15-1120,Computer and Information Analysts,broad,"696,030"
131,15-1121,Computer Systems Analysts,detailed,"587,970"
132,15-1122,Information Security Analysts,detailed,"108,060"
133,15-1130,Software Developers and Programmers,broad,"1,666,270"
134,15-1131,Computer Programmers,detailed,"230,470"
135,15-1132,"Software Developers, Applications",detailed,"903,160"
136,15-1133,"Software Developers, Systems Software",detailed,"405,330"
137,15-1134,Web Developers,detailed,"127,300"
138,15-1140,Database and Systems Administrators and Network Architects,broad,"629,020"
139,15-1141,Database Administrators,detailed,"110,090"
140,15-1142,Network and Computer Systems Administrators,detailed,"366,250"
141,15-1143,Computer Network Architects,detailed,"152,670"
142,15-1150,Computer Support Specialists,broad,"812,060"
143,15-1151,Computer User Support Specialists,detailed,"630,700"
144,15-1152,Computer Network Support Specialists,detailed,"181,360"
145,15-1190,Miscellaneous Computer Occupations,broad,"381,380"
146,15-1199,"Computer Occupations, All Other",detailed,"381,380"
147,15-2000,Mathematical Science Occupations,minor,"169,480"
148,15-2010,Actuaries,broad,"20,760"
149,15-2011,Actuaries,detailed,"20,760"
150,15-2020,Mathematicians,broad,"2,580"
151,15-2021,Mathematicians,detailed,"2,580"
152,15-2030,Operations Research Analysts,broad,"104,200"
153,15-2031,Operations Research Analysts,detailed,"104,200"
154,15-2040,Statisticians,broad,"39,920"
155,15-2041,Statisticians,detailed,"39,920"
156,15-2090,Miscellaneous Mathematical Science Occupations,detailed,"2,010"
157,15-2090,Miscellaneous Mathematical Science Occupations,broad,"2,010"
158,17-0000,Architecture and Engineering Occupations,major,"2,556,220"
159,17-1000,"Architects, Surveyors, and Cartographers",minor,"179,380"
160,17-1010,"Architects, Except Naval",broad,"123,020"
161,17-1011,"Architects, Except Landscape and Naval",detailed,"104,360"
162,17-1012,Landscape Architects,detailed,"18,660"
163,17-1020,"Surveyors, Cartographers, and Photogrammetrists",broad,"56,360"
164,17-1021,Cartographers and Photogrammetrists,detailed,"11,050"
165,17-1022,Surveyors,detailed,"45,310"
166,17-2000,Engineers,minor,"1,700,880"
167,17-2010,Aerospace Engineers,broad,"63,960"
168,17-2011,Aerospace Engineers,detailed,"63,960"
169,17-2020,Agricultural Engineers,broad,"1,630"
170,17-2021,Agricultural Engineers,detailed,"1,630"
171,17-2030,Biomedical Engineers,broad,"18,970"
172,17-2031,Biomedical Engineers,detailed,"18,970"
173,17-2040,Chemical Engineers,broad,"32,060"
174,17-2041,Chemical Engineers,detailed,"32,060"
175,17-2050,Civil Engineers,broad,"306,030"
176,17-2051,Civil Engineers,detailed,"306,030"
177,17-2060,Computer Hardware Engineers,broad,"60,750"
178,17-2061,Computer Hardware Engineers,detailed,"60,750"
179,17-2070,Electrical and Electronics Engineers,broad,"320,610"
180,17-2071,Electrical Engineers,detailed,"186,490"
181,17-2072,"Electronics Engineers, Except Computer",detailed,"134,110"
182,17-2080,Environmental Engineers,broad,"53,070"
183,17-2081,Environmental Engineers,detailed,"53,070"
184,17-2110,"Industrial Engineers, Including Health and Safety",broad,"305,780"
185,17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",detailed,"26,230"
186,17-2112,Industrial Engineers,detailed,"279,550"
187,17-2120,Marine Engineers and Naval Architects,broad,"11,350"
188,17-2121,Marine Engineers and Naval Architects,detailed,"11,350"
189,17-2130,Materials Engineers,broad,"26,930"
190,17-2131,Materials Engineers,detailed,"26,930"
191,17-2140,Mechanical Engineers,broad,"303,440"
192,17-2141,Mechanical Engineers,detailed,"303,440"
193,17-2150,"Mining and Geological Engineers, Including Mining Safety Engineers",broad,"5,780"
194,17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",detailed,"5,780"
195,17-2160,Nuclear Engineers,broad,"15,980"
196,17-2161,Nuclear Engineers,detailed,"15,980"
197,17-2170,Petroleum Engineers,broad,"32,510"
198,17-2171,Petroleum Engineers,detailed,"32,510"
199,17-2190,Miscellaneous Engineers,broad,"142,030"
200,17-2199,"Engineers, All Other",detailed,"142,030"
201,17-3000,"Drafters, Engineering Technicians, and Mapping Technicians",minor,"675,960"
202,17-3010,Drafters,broad,"193,260"
203,17-3011,Architectural and Civil Drafters,detailed,"97,610"
204,17-3012,Electrical and Electronics Drafters,detailed,"24,900"
205,17-3013,Mechanical Drafters,detailed,"56,170"
206,17-3019,"Drafters, All Other",detailed,"14,580"
207,17-3020,"Engineering Technicians, Except Drafters",broad,"430,400"
208,17-3021,Aerospace Engineering and Operations Technicians,detailed,"10,110"
209,17-3022,Civil Engineering Technicians,detailed,"71,150"
210,17-3023,Electrical and Electronics Engineering Technicians,detailed,"126,950"
211,17-3024,Electro-Mechanical Technicians,detailed,"13,520"
212,17-3025,Environmental Engineering Technicians,detailed,"17,310"
213,17-3026,Industrial Engineering Technicians,detailed,"66,540"
214,17-3027,Mechanical Engineering Technicians,detailed,"41,460"
215,17-3029,"Engineering Technicians, Except Drafters, All Other",detailed,"83,360"
216,17-3030,Surveying and Mapping Technicians,broad,"52,300"
217,17-3031,Surveying and Mapping Technicians,detailed,"52,300"
218,19-0000,"Life, Physical, and Social Science Occupations",major,"1,171,910"
219,19-1000,Life Scientists,minor,"304,750"
220,19-1010,Agricultural and Food Scientists,broad,"30,880"
221,19-1011,Animal Scientists,detailed,"2,530"
222,19-1012,Food Scientists and Technologists,detailed,"13,330"
223,19-1013,Soil and Plant Scientists,detailed,"15,010"
